damsire_id,damsire_name,total_runners,class,runners,1st,2nd,3rd,4th,a/e,win_%,1_pl
dsi_296359,Old Vic,9880,,4164,407,380,352,355,0.86,0.1,-995.69
dsi_296359,Old Vic,9880,Class 4,2220,333,301,295,221,0.94,0.15,-424.07
dsi_296359,Old Vic,9880,Class 5,1297,165,161,128,131,0.92,0.13,-365.53
dsi_296359,Old Vic,9880,Class 3,937,161,141,126,106,1.03,0.17,-0.93
dsi_296359,Old Vic,9880,Class 1,444,51,36,43,38,0.96,0.11,-10.64
dsi_296359,Old Vic,9880,Class 2,437,44,57,51,51,0.77,0.1,-36.12
dsi_296359,Old Vic,9880,Class 6,335,46,43,33,42,1.03,0.14,3.77
dsi_296359,Old Vic,9880,Class 7,46,5,5,7,2,0.99,0.11,-13.0
dsi_301889,Mansonnien,3645,,2057,266,255,203,184,0.9,0.13,-28.73
dsi_301889,Mansonnien,3645,Class 4,589,89,79,92,66,0.88,0.15,-126.58
dsi_301889,Mansonnien,3645,Class 3,318,47,49,47,37,0.89,0.15,-44.68
dsi_301889,Mansonnien,3645,Class 5,283,33,35,23,24,0.83,0.12,-87.3
dsi_301889,Mansonnien,3645,Class 1,183,22,21,19,20,0.89,0.12,-25.11
dsi_301889,Mansonnien,3645,Class 2,151,25,12,13,12,1.21,0.17,36.61
dsi_301889,Mansonnien,3645,Class 6,64,8,11,11,4,0.71,0.12,-33.75
dsi_3276504,Muhtathir,3096,,2511,248,220,235,227,0.88,0.1,-397.49
dsi_3276504,Muhtathir,3096,Class 4,178,27,21,20,14,1.01,0.15,-23.64
dsi_3276504,Muhtathir,3096,Class 5,155,17,21,15,20,0.83,0.11,-75.76
dsi_3276504,Muhtathir,3096,Class 1,83,7,10,12,11,0.85,0.08,-14.6
dsi_3276504,Muhtathir,3096,Class 3,58,11,12,5,11,0.97,0.19,5.11
dsi_3276504,Muhtathir,3096,Class 2,57,5,3,8,5,0.72,0.09,-8.8
dsi_3276504,Muhtathir,3096,Class 6,54,5,12,5,5,0.68,0.09,-10.65
dsi_3816407,Saint Des Saints,2488,,1482,235,195,188,140,0.9,0.16,-314.86
dsi_3816407,Saint Des Saints,2488,Class 4,372,61,61,61,38,0.83,0.16,-53.88
dsi_3816407,Saint Des Saints,2488,Class 5,205,21,29,25,20,0.65,0.1,-97.49
dsi_3816407,Saint Des Saints,2488,Class 3,180,41,33,20,19,1.08,0.23,-7.74
dsi_3816407,Saint Des Saints,2488,Class 1,150,37,16,11,11,1.03,0.25,-3.48
