damsire_id,damsire_name,total_runners,dist_f,runners,1st,2nd,3rd,4th,a/e,win_%,1_pl
dsi_296359,Old Vic,9880,16f,1846,209,195,166,178,0.92,0.11,-327.52
dsi_296359,Old Vic,9880,20f,1234,141,139,138,115,0.81,0.11,-283.91
dsi_296359,Old Vic,9880,24f,728,70,88,76,69,0.75,0.1,-202.52
dsi_296359,Old Vic,9880,16.5f,512,67,42,43,57,1.0,0.13,-1.55
dsi_296359,Old Vic,9880,19.5f,438,68,55,52,47,1.08,0.16,-37.74
dsi_296359,Old Vic,9880,20.5f,436,60,47,56,43,0.96,0.14,-22.58
dsi_296359,Old Vic,9880,19f,406,54,43,48,38,0.92,0.13,-157.89
dsi_296359,Old Vic,9880,21f,386,46,53,39,28,0.91,0.12,-59.32
dsi_296359,Old Vic,9880,17f,378,36,48,33,40,0.74,0.1,-81.71
dsi_296359,Old Vic,9880,21.5f,298,52,30,38,32,1.17,0.17,124.08
dsi_296359,Old Vic,9880,23.5f,256,35,34,39,26,0.96,0.14,-35.51
dsi_296359,Old Vic,9880,23f,238,35,29,26,32,0.99,0.15,-62.04
dsi_296359,Old Vic,9880,24.5f,225,29,19,22,26,0.96,0.13,-27.7
dsi_296359,Old Vic,9880,22f,224,29,22,18,23,1.01,0.13,-84.34
dsi_296359,Old Vic,9880,15.5f,215,35,37,25,12,1.08,0.16,-2.64
dsi_296359,Old Vic,9880,18f,213,28,25,21,23,0.96,0.13,-40.92
dsi_296359,Old Vic,9880,12f,190,25,24,20,16,0.92,0.13,-79.8
dsi_296359,Old Vic,9880,25f,168,16,25,16,18,0.66,0.1,-93.22
dsi_296359,Old Vic,9880,26f,141,24,20,22,9,1.17,0.17,22.6
dsi_296359,Old Vic,9880,22.5f,127,15,12,10,12,0.87,0.12,-52.12
dsi_296359,Old Vic,9880,17.5f,127,19,23,12,14,0.95,0.15,-38.49
dsi_296359,Old Vic,9880,10f,115,10,7,10,11,0.79,0.09,-41.55
dsi_296359,Old Vic,9880,18.5f,115,12,13,18,16,0.69,0.1,-54.71
dsi_296359,Old Vic,9880,7f,106,10,10,7,8,1.11,0.09,-11.0
dsi_296359,Old Vic,9880,8f,102,6,10,6,9,0.69,0.06,-65.2
dsi_296359,Old Vic,9880,25.5f,95,15,15,15,6,0.93,0.16,-11.08
dsi_296359,Old Vic,9880,14f,76,10,8,11,4,0.92,0.13,-29.14
dsi_296359,Old Vic,9880,6f,63,6,4,6,8,0.97,0.1,38.9
dsi_296359,Old Vic,9880,26.5f,53,7,6,7,7,0.89,0.13,-24.95
dsi_296359,Old Vic,9880,11f,35,6,8,7,0,0.94,0.17,-18.1
dsi_296359,Old Vic,9880,9.5f,31,6,5,2,1,1.56,0.19,11.66
dsi_296359,Old Vic,9880,29f,30,2,1,1,1,0.68,0.07,-17.5
dsi_296359,Old Vic,9880,8.5f,27,4,3,2,1,1.07,0.15,-8.83
dsi_296359,Old Vic,9880,13f,24,0,1,2,2,0.0,0.0,-24.0
dsi_296359,Old Vic,9880,15f,23,4,1,3,2,1.21,0.17,6.7
dsi_296359,Old Vic,9880,9f,21,1,3,1,3,0.37,0.05,-19.6
dsi_296359,Old Vic,9880,11.5f,19,4,4,0,2,1.61,0.21,0.0
dsi_296359,Old Vic,9880,12.5f,17,1,2,2,1,0.64,0.06,-11.0
dsi_296359,Old Vic,9880,10.5f,15,2,2,0,1,1.06,0.13,1.9
dsi_296359,Old Vic,9880,30.5f,15,1,0,0,1,0.71,0.07,-7.0
dsi_296359,Old Vic,9880,28f,12,2,1,3,0,1.35,0.17,-1.5
dsi_296359,Old Vic,9880,27f,12,2,3,3,2,1.13,0.17,0.38
dsi_296359,Old Vic,9880,32f,11,1,1,1,0,1.47,0.09,23.0
dsi_296359,Old Vic,9880,5f,10,0,1,0,0,0.0,0.0,-10.0
dsi_296359,Old Vic,9880,7.5f,10,2,0,0,1,1.62,0.2,1.5
dsi_296359,Old Vic,9880,13.5f,9,1,2,1,1,0.8,0.11,-5.75
dsi_296359,Old Vic,9880,27.5f,9,0,0,1,0,0.0,0.0,-9.0
dsi_296359,Old Vic,9880,28.5f,8,3,0,0,0,2.83,0.38,16.5
dsi_296359,Old Vic,9880,34.5f,8,0,0,0,0,0.0,0.0,-8.0
dsi_296359,Old Vic,9880,32.5f,5,0,1,1,0,0.0,0.0,-5.0
dsi_296359,Old Vic,9880,14.5f,4,0,0,1,0,0.0,0.0,-4.0
dsi_296359,Old Vic,9880,34f,3,0,0,3,0,0.0,0.0,-3.0
dsi_296359,Old Vic,9880,31f,2,0,0,0,0,0.0,0.0,-2.0
dsi_296359,Old Vic,9880,30f,2,1,1,0,0,2.55,0.5,1.0
dsi_296359,Old Vic,9880,29.5f,2,0,1,1,0,0.0,0.0,-2.0
dsi_296359,Old Vic,9880,33.5f,2,0,0,0,0,0.0,0.0,-2.0
dsi_296359,Old Vic,9880,33f,1,0,0,0,0,0.0,0.0,-1.0
dsi_296359,Old Vic,9880,6.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_296359,Old Vic,9880,31.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3843581,Bollin Eric,154,16f,38,9,1,5,4,1.47,0.24,15.25
dsi_3843581,Bollin Eric,154,16.5f,23,2,2,7,2,0.6,0.09,-10.5
dsi_3843581,Bollin Eric,154,12f,10,0,0,2,1,0.0,0.0,-10.0
dsi_3843581,Bollin Eric,154,24.5f,9,3,0,0,0,1.6,0.33,2.03
dsi_3843581,Bollin Eric,154,20f,9,2,1,2,0,1.49,0.22,0.25
dsi_3843581,Bollin Eric,154,19.5f,6,1,0,1,0,0.99,0.17,-4.33
dsi_3843581,Bollin Eric,154,11f,6,0,0,1,1,0.0,0.0,-6.0
dsi_3843581,Bollin Eric,154,24f,5,3,1,0,0,2.03,0.6,52.43
dsi_3843581,Bollin Eric,154,21.5f,5,0,0,0,0,0.0,0.0,-5.0
dsi_3843581,Bollin Eric,154,10f,5,1,0,0,0,1.79,0.2,-0.3
dsi_3843581,Bollin Eric,154,17f,4,1,0,0,0,2.95,0.25,-0.5
dsi_3843581,Bollin Eric,154,25f,4,1,1,1,0,0.41,0.25,-2.75
