race_id,course,course_id,date,off_time,distance_round,distance,distance_f,region,race_class,type,age_band,field_size,going,surface,jumps,horse_id,horse,age,trainer,trainer_id,trainer_location,trainer_14_days_runs,trainer_14_days_wins,trainer_14_days_percent,owner,owner_id,draw,lbs,rpr,ts,jockey,jockey_id,last_run,form,trainer_rtf,odds_decimal,dam,dam_id,sire,sire_id,damsire,damsire_id
rac_11577332,Cheltenham,crs_286,2025-04-17,1:35,2m1f,2m179y,17.0,GB,Class 1,Hurdle,4yo,9,Good,Turf,8 hurdles,hrs_40919935,Sainte Lucie,4,W P Mullins,trn_13275,"Muine Bheag, Co Carlow",69,13,19,Mrs S Ricci,own_636264,0,168,121,108,Danny Mullins,jky_262572,34,3-188,58,1.91,Sainte Folie,dam_35015589,Great Pretender,sir_3845786,Saint Des Saints,dsi_3816407
rac_11577332,Cheltenham,crs_286,2025-04-17,1:35,2m1f,2m179y,17.0,GB,Class 1,Hurdle,4yo,9,Good,Turf,8 hurdles,hrs_40605782,Miss Altea Blue,4,Paul Nicholls,trn_51903,"Ditcheat, Somerset",36,7,19,Kate & Andrew Brooks,own_870932,0,162,117,91,Jay Tidball(5),jky_302274,33,42251F,47,12,Miss Salsa Blue,dam_9648135,Great Pretender,sir_3845786,Blue Bresil,dsi_4924724
rac_11577332,Cheltenham,crs_286,2025-04-17,1:35,2m1f,2m179y,17.0,GB,Class 1,Hurdle,4yo,9,Good,Turf,8 hurdles,hrs_39372228,Matwana,4,Harry Derham,trn_360765,"Upper Lambourn, Berks",18,4,22,Mrs Ceri Fell,own_1405768,0,154,120,115,Paul O'Brien,jky_276336,33,24121,56,5.5,Matwan,dam_4906699,Galiway,sir_5895316,Indian Rocket,dsi_3135811
rac_11577332,Cheltenham,crs_286,2025-04-17,1:35,2m1f,2m179y,17.0,GB,Class 1,Hurdle,4yo,9,Good,Turf,8 hurdles,hrs_41052053,Clotilda,4,Paul Nicholls,trn_51903,"Ditcheat, Somerset",36,7,19,D G Staddon,own_399184,0,151,119,98,Harry Cobden,jky_282690,26,231438,47,17,Goldflake,dam_5707107,Clovis Du Berlais,sir_6028897,Turgeon,dsi_366520
rac_11577332,Cheltenham,crs_286,2025-04-17,1:35,2m1f,2m179y,17.0,GB,Class 1,Hurdle,4yo,9,Good,Turf,8 hurdles,hrs_44199071,Lagoon Nebula,4,Andrew Kinirons,trn_338886,"Newbridge, Co Kildare",5,0,0,Stay Wut Her Jonny Syndicate,own_1417920,0,145,113,98,Sean O'Keeffe,jky_295554,28,596,40,17,Psychometry,dam_5891445,Ulysses,sir_6125343,Danehill Dancer,dsi_728077
rac_11577332,Cheltenham,crs_286,2025-04-17,1:35,2m1f,2m179y,17.0,GB,Class 1,Hurdle,4yo,9,Good,Turf,8 hurdles,hrs_46450201,Maxios Prime,4,P J Rothwell,trn_122130,"Tinahely, Co Wicklow",17,2,12,Living Life to The Maxios Syndicate,own_1403628,0,142,120,72,Jonathan Burke,jky_275277,54,000F1,53,6,A Pasqualina,dam_46450194,Maxios,sir_5369000,Walk In The Park,dsi_4218179
rac_11577332,Cheltenham,crs_286,2025-04-17,1:35,2m1f,2m179y,17.0,GB,Class 1,Hurdle,4yo,9,Good,Turf,8 hurdles,hrs_48644680,Analiese,4,Mel Rowley,trn_342864,"Bridgnorth, Shrops",11,0,0,Four Gents,own_1309348,0,142,118,102,Toby Wynne,jky_300246,38,414,27,19,Amourice,dam_10407754,Harzand,sir_6281926,Authorized,dsi_4645585
rac_11577332,Cheltenham,crs_286,2025-04-17,1:35,2m1f,2m179y,17.0,GB,Class 1,Hurdle,4yo,9,Good,Turf,8 hurdles,hrs_46265548,Sophie Power,4,Harriet Dickin,trn_355509,"Midford, Somerset",3,0,0,Matt Fitzgerald And The Songsters,own_1255100,0,142,104,71,James Best,jky_273690,61,P44P,,29,Calling All Angels,dam_4906741,Doctor Dino,sir_4223408,Ange Gabriel,dsi_3841467
rac_11577332,Cheltenham,crs_286,2025-04-17,1:35,2m1f,2m179y,17.0,GB,Class 1,Hurdle,4yo,9,Good,Turf,8 hurdles,hrs_36878772,Our Lil,4,Dan Skelton,trn_146430,"Alcester, Warwicks",44,7,16,Paddy Brennan Racing Syndicate Our Lil,own_1404676,0,142,114,74,Miss Heidi Palin(7),jky_306519,34,431,50,17,Lorgnette,dam_6313538,Cable Bay,sir_5860085,Galileo,dsi_3722383
rac_11577293,Cheltenham,crs_286,2025-04-17,2:10,3m1½f,3m1f56y,25.5,GB,Class 2,Chase,5yo+,14,Good,Turf,21 fences,hrs_33080607,Coco Mademoiselle,7,Dan Skelton,trn_146430,"Alcester, Warwicks",44,7,16,Garry Wilson,own_660636,0,168,129,122,Harry Skelton,jky_255654,40,12-262,50,4.33,Towermore Lass,dam_4796533,Doyen,sir_3983700,Presenting,dsi_676165
