dam_id,dam_name,total_runners,class,runners,1st,2nd,3rd,4th,a/e,win_%,1_pl
dam_5923631,Princess Leya (IRE),20,,8,0,2,2,0,0.0,0.0,-8.0
dam_5923631,Princess Leya (IRE),20,Class 4,5,1,3,0,0,0.83,0.2,0.5
dam_5923631,Princess Leya (IRE),20,Class 1,3,1,0,1,0,2.34,0.33,7.0
dam_5923631,Princess Leya (IRE),20,Class 5,2,0,0,1,1,0.0,0.0,-2.0
dam_5923631,Princess Leya (IRE),20,Class 2,2,0,1,0,0,0.0,0.0,-2.0
dam_3580934,Belle Yepa (FR),130,,52,9,4,3,4,1.33,0.17,26.4
dam_3580934,Belle Yepa (FR),130,Class 4,31,5,4,4,7,0.88,0.16,10.02
dam_3580934,Belle Yepa (FR),130,Class 5,15,3,0,0,1,1.42,0.2,3.0
dam_3580934,Belle Yepa (FR),130,Class 1,15,4,3,0,2,1.62,0.27,14.75
dam_3580934,Belle Yepa (FR),130,Class 2,9,4,1,1,0,1.69,0.44,3.54
dam_3580934,Belle Yepa (FR),130,Class 3,5,0,0,3,2,0.0,0.0,-5.0
dam_3580934,Belle Yepa (FR),130,Class 6,3,1,0,0,0,1.78,0.33,0.0
dam_5697293,Rattlin (GB),28,,8,4,2,1,0,0.92,0.5,0.03
dam_5697293,Rattlin (GB),28,Class 4,7,4,0,3,0,2.1,0.57,15.22
dam_5697293,Rattlin (GB),28,Class 3,7,0,2,0,1,0.0,0.0,-7.0
dam_5697293,Rattlin (GB),28,Class 5,4,0,0,0,1,0.0,0.0,-4.0
dam_5697293,Rattlin (GB),28,Class 1,1,0,0,0,0,0.0,0.0,-1.0
dam_5697293,Rattlin (GB),28,Class 2,1,0,0,0,0,0.0,0.0,-1.0
dam_10255994,Terebella (FR),27,,22,3,2,1,3,1.34,0.14,15.9
dam_10255994,Terebella (FR),27,Class 4,3,2,1,0,0,1.16,0.67,0.09
dam_10255994,Terebella (FR),27,Class 1,1,0,0,0,0,0.0,0.0,-1.0
dam_10255994,Terebella (FR),27,Class 3,1,0,1,0,0,0.0,0.0,-1.0
dam_48112330,Quintalea (FR),3,Class 4,2,0,0,0,0,0.0,0.0,-2.0
dam_48112330,Quintalea (FR),3,Class 5,1,0,0,0,0,0.0,0.0,-1.0
dam_4611607,Runaround Sue (IRE),55,Class 5,26,1,2,4,0,0.61,0.04,-21.5
dam_4611607,Runaround Sue (IRE),55,Class 4,19,2,3,1,2,1.55,0.11,0.0
