race_id,horse_id,position
rac_11225825,hrs_19959282,1
rac_11225825,hrs_24735004,2
rac_11225825,hrs_31699157,3
rac_11225825,hrs_32653817,4
rac_11225825,hrs_18087307,5
rac_11225825,hrs_32499866,6
rac_11225825,hrs_23425759,7
rac_11225825,hrs_37476628,8
rac_11225786,hrs_36207612,1
rac_11225786,hrs_35625674,2
rac_11225786,hrs_39451328,3
rac_11225786,hrs_37124374,4
rac_11225786,hrs_36428154,5
rac_11225786,hrs_37193373,6
rac_11225786,hrs_38002335,7
rac_11225786,hrs_36515150,8
rac_11225786,hrs_36894305,9
rac_11225760,hrs_35864360,1
rac_11225760,hrs_37489837,2
rac_11225760,hrs_39109812,3
rac_11225760,hrs_29721769,4
rac_11225760,hrs_30643172,5
rac_11225812,hrs_33303781,1
rac_11225812,hrs_28078050,2
rac_11225812,hrs_21938392,3
rac_11225812,hrs_17310615,4
rac_11225812,hrs_28693826,5
rac_11225812,hrs_24481114,6
rac_11225812,hrs_31451609,7
rac_11225812,hrs_24517815,8
rac_11225812,hrs_15014041,9
rac_11225812,hrs_32356079,10
rac_11225799,hrs_30487184,1
rac_11225799,hrs_21082873,2
rac_11225799,hrs_37489746,3
rac_11225799,hrs_24287851,4
rac_11225799,hrs_27664728,5
rac_11225799,hrs_33190906,6
rac_11225799,hrs_21493192,7
rac_11225799,hrs_28707154,8
rac_11225799,hrs_20102250,9
rac_11225799,hrs_36235199,10
rac_11225799,hrs_30231978,11
rac_11225773,hrs_37027088,1
rac_11225773,hrs_40205851,2
rac_11225773,hrs_39848648,3
rac_11225773,hrs_35055993,4
rac_11225773,hrs_40293708,5
rac_11225773,hrs_40373837,6
rac_11225773,hrs_37959278,7
rac_11225773,hrs_36986208,8
rac_11225773,hrs_40225906,9
rac_11225773,hrs_37836603,10
rac_11225773,hrs_40293694,11
rac_11225838,hrs_32882416,1
rac_11225838,hrs_26408802,2
rac_11225838,hrs_10833179,3
rac_11225838,hrs_18492082,4
rac_11225838,hrs_24456215,5
rac_11225838,hrs_19725447,6
rac_11225838,hrs_32837378,7
rac_11221678,hrs_19768658,1
rac_11221678,hrs_34166454,2
rac_11221678,hrs_30314788,3
rac_11221678,hrs_18512949,4
rac_11221678,hrs_24078936,5
rac_11221678,hrs_22488018,6
rac_11221678,hrs_22429204,7
rac_11221678,hrs_34571411,8
rac_11221678,hrs_24845814,9
rac_11221678,hrs_16761745,10
rac_11221678,hrs_22214633,11
rac_11221678,hrs_27359010,12
rac_11221678,hrs_34961654,13
rac_11221678,hrs_35781319,14
rac_11221678,hrs_21327719,15
rac_11221678,hrs_28797244,16
rac_11221678,hrs_27012279,F
rac_11221678,hrs_27551153,PU
rac_11221678,hrs_29116955,PU
rac_11249563,hrs_34153315,1
rac_11249563,hrs_38118430,2
rac_11249563,hrs_39641371,3
rac_11249563,hrs_39659697,4
rac_11249563,hrs_30151198,5
rac_11249563,hrs_37381624,6
rac_11249563,hrs_40787250,7
rac_11221639,hrs_27888805,1
rac_11221639,hrs_32881485,2
rac_11221639,hrs_33177179,3
rac_11221639,hrs_33165174,4
rac_11221639,hrs_29522815,4
rac_11221639,hrs_29816556,6
rac_11221639,hrs_22906506,F
rac_11221639,hrs_29326801,PU
rac_11249550,hrs_22567349,1
rac_11249550,hrs_32853212,2
rac_11249550,hrs_29226393,3
rac_11249550,hrs_26145791,4
rac_11249550,hrs_6270152,5
rac_11209640,hrs_21512085,1
rac_11209640,hrs_18687088,2
rac_11209640,hrs_22897700,3
rac_11209640,hrs_6956530,4
rac_11209640,hrs_19788587,5
rac_11209640,hrs_23166031,6
rac_11209640,hrs_23380119,7
rac_11209640,hrs_17664703,8
rac_11209640,hrs_18332741,9
rac_11209640,hrs_24141509,10
rac_11209640,hrs_13772850,11
rac_11209640,hrs_20730738,12
rac_11209640,hrs_9148881,13
rac_11209640,hrs_20550047,14
rac_11209640,hrs_13733608,15
rac_11209640,hrs_11230205,16
rac_11209640,hrs_16802324,17
rac_11209640,hrs_12271105,PU
rac_11209640,hrs_15536752,PU
rac_11209640,hrs_15772862,PU
rac_11209640,hrs_18415390,PU
rac_11209640,hrs_21395465,PU
rac_11209640,hrs_24592778,PU
rac_11209640,hrs_21395472,UR
rac_11249524,hrs_23333016,1
rac_11249524,hrs_35203483,2
rac_11249524,hrs_34153553,3
rac_11249524,hrs_22006705,4
rac_11249524,hrs_29552572,5
rac_11249524,hrs_27237448,6
rac_11221613,hrs_22856064,1
rac_11221613,hrs_12851167,2
rac_11221613,hrs_15529213,3
rac_11221613,hrs_12704188,4
rac_11221613,hrs_13202938,PU
rac_11221613,hrs_14705166,PU
rac_11221613,hrs_20456436,PU
rac_11249511,hrs_23157253,1
rac_11249511,hrs_32567780,2
rac_11249511,hrs_29026928,3
rac_11249511,hrs_27428800,4
rac_11249511,hrs_23332568,5
rac_11249511,hrs_19477885,6
