horse_id,dist,dist_m,dist_f,runs,1st,2nd,3rd,4th,win_%
hrs_40225906,1m,1609,8f,9,3,2,1,2,0.33
hrs_40225906,7f,1408,7f,8,1,1,0,1,0.12
hrs_40225906,6f,1207,6f,3,0,0,0,0,0.0
hrs_40225906,1m½f,1739,8.5f,3,0,1,0,0,0.0
hrs_29917818,7f,1421,7f,25,2,6,4,3,0.08
hrs_29917818,1m,1608,8f,14,1,2,4,2,0.07
hrs_29917818,6f,1204,6f,2,0,0,0,2,0.0
hrs_29917818,1m1f,1799,9f,1,0,0,0,0,0.0
hrs_29917818,1m1½f,1906,9.5f,1,0,0,0,0,0.0
hrs_29917818,1m½f,1678,8.5f,1,0,0,1,0,0.0
hrs_29917818,7½f,1496,7.5f,1,0,0,0,0,0.0
hrs_29917818,5f,1012,5f,1,0,0,1,0,0.0
hrs_29917818,1m2f,2012,10f,1,0,0,0,0,0.0
hrs_33904752,1m,1609,8f,7,0,2,1,1,0.0
hrs_33904752,7f,1408,7f,4,1,1,1,0,0.25
hrs_33904752,1m2f,1966,10f,4,0,1,1,1,0.0
hrs_33904752,5f,1006,5f,2,0,0,0,1,0.0
hrs_33904752,6f,1207,6f,1,0,0,0,0,0.0
hrs_33904752,1m1f,1799,9f,1,0,0,1,0,0.0
hrs_35580720,6f,1207,6f,11,1,3,0,1,0.09
hrs_35580720,7f,1441,7f,6,1,0,1,1,0.17
hrs_35580720,5f,1006,5f,2,0,0,0,0,0.0
hrs_35580720,1m,1614,8f,1,0,0,0,1,0.0
hrs_35580720,1m½f,1739,8.5f,1,0,0,0,0,0.0
hrs_37027032,1m,1614,8f,6,0,0,1,3,0.0
hrs_37027032,1m½f,1701,8.5f,4,0,0,0,0,0.0
hrs_37027032,7f,1421,7f,3,0,0,0,1,0.0
hrs_37027032,1m2f,2050,10f,2,0,0,0,1,0.0
hrs_37027032,6f,1207,6f,1,0,0,0,0,0.0
hrs_23380427,1m,1608,8f,31,4,6,3,1,0.13
hrs_23380427,7f,1421,7f,10,1,1,0,1,0.1
hrs_23380427,1m½f,1739,8.5f,8,1,2,1,1,0.12
hrs_23380427,6f,1204,6f,7,1,0,0,2,0.14
hrs_23380427,1m1½f,1906,9.5f,3,0,1,1,0,0.0
hrs_23380427,1m2f,2050,10f,2,0,1,0,0,0.0
hrs_40132855,7f,1408,7f,2,0,0,0,0,0.0
hrs_40132855,6f,1200,6f,2,0,0,0,0,0.0
hrs_40132855,5f,1006,5f,1,0,0,1,0,0.0
hrs_40132855,1m,1614,8f,1,0,0,0,0,0.0
hrs_40132855,1m2f,2050,10f,1,0,0,0,0,0.0
hrs_23425759,1m,1610,8f,48,7,4,4,10,0.15
hrs_23425759,7f,1421,7f,10,0,0,0,4,0.0
hrs_23425759,1m½f,1739,8.5f,9,0,0,2,0,0.0
hrs_23425759,1m1½f,1906,9.5f,3,0,0,0,0,0.0
hrs_23425759,6f,1207,6f,1,0,0,0,0,0.0
hrs_23425759,7½f,1496,7.5f,1,0,0,0,0,0.0
hrs_36036826,7f,1408,7f,4,0,0,1,0,0.0
hrs_36036826,6f,1207,6f,2,0,0,0,0,0.0
hrs_36036826,1m,1609,8f,2,0,0,1,0,0.0
hrs_36036826,5f,1006,5f,1,0,0,0,0,0.0
hrs_37027039,1m,1609,8f,8,4,1,2,0,0.5
hrs_37027039,7f,1408,7f,2,1,0,0,0,0.5
hrs_37027039,6f,1207,6f,1,0,0,0,0,0.0
hrs_37027039,1m½f,1739,8.5f,1,0,0,0,0,0.0
hrs_35336644,7f,1408,7f,5,1,1,1,0,0.2
hrs_35336644,1m,1609,8f,3,0,1,0,1,0.0
hrs_35336644,1m2f,2012,10f,2,0,0,0,0,0.0
hrs_35336644,6f,1207,6f,2,1,0,0,0,0.5
hrs_35336644,1m½f,1739,8.5f,1,1,0,0,0,1.0
hrs_34932793,7f,1408,7f,17,2,4,2,1,0.12
hrs_34932793,1m,1609,8f,7,1,2,1,1,0.14
hrs_34932793,1m½f,1739,8.5f,1,0,0,0,0,0.0
hrs_35881293,1m,1609,8f,7,1,2,0,2,0.14
hrs_35881293,1m2f,2002,10f,3,0,0,1,0,0.0
hrs_35881293,1m1½f,1906,9.5f,2,0,0,0,1,0.0
hrs_35881293,1m½f,1739,8.5f,1,0,0,0,0,0.0
hrs_35881293,1m3f,2234,11f,1,0,0,0,1,0.0
hrs_35881293,7f,1408,7f,1,0,0,0,0,0.0
hrs_30469901,1m,1609,8f,8,1,0,2,2,0.12
hrs_30469901,1m½f,1701,8.5f,5,1,1,1,1,0.2
hrs_30469901,1m2f,2033,10f,4,0,0,1,0,0.0
hrs_30469901,7f,1408,7f,3,0,0,0,1,0.0
hrs_30469901,6f,1207,6f,3,0,0,0,2,0.0
hrs_30469901,6½f,1265,6.5f,1,0,0,0,0,0.0
hrs_30469901,1m1f,1811,9f,1,0,0,0,0,0.0
hrs_30469901,1m1½f,1906,9.5f,1,0,0,0,0,0.0
hrs_31189613,7f,1399,7f,10,2,3,1,1,0.2
