jockey_id,total_rides,course,course_id,region,rides,1st,2nd,3rd,4th,a/e,win_%,1_pl
jky_293565,2061,Ayr,crs_78,GB,211,30,39,25,22,0.87,0.14,-32.24
jky_293565,2061,Kelso,crs_702,GB,200,24,33,31,17,0.77,0.12,-89.83
jky_293565,2061,Sedgefield,crs_1482,GB,183,32,21,20,22,1.16,0.17,51.11
jky_293565,2061,Perth,crs_1066,GB,173,23,22,19,28,0.89,0.13,-49.91
jky_293565,2061,Carlisle,crs_208,GB,172,27,23,22,14,1.11,0.16,-5.9
jky_293565,2061,Newcastle,crs_962,GB,168,23,27,20,20,0.85,0.14,-67.76
jky_293565,2061,Musselburgh,crs_416,GB,164,23,18,19,22,1.02,0.14,-41.63
jky_293565,2061,Hexham,crs_650,GB,164,23,18,19,16,1.03,0.14,-25.8
jky_293565,2061,Cartmel,crs_234,GB,81,12,7,11,9,1.07,0.15,-25.14
jky_293565,2061,Wetherby,crs_2262,GB,81,11,9,13,10,0.94,0.14,-29.33
jky_293565,2061,Doncaster,crs_390,GB,73,10,4,13,8,1.08,0.14,-12.62
jky_293565,2061,Catterick,crs_260,GB,68,7,8,13,5,0.79,0.1,-16.59
jky_293565,2061,Uttoxeter,crs_2184,GB,53,8,8,5,6,1.24,0.15,-3.3
jky_293565,2061,Market Rasen,crs_910,GB,51,7,3,3,7,1.18,0.14,21.0
jky_293565,2061,Haydock,crs_598,GB,43,6,4,5,6,1.0,0.14,-20.1
jky_293565,2061,Aintree,crs_832,GB,41,4,1,2,6,1.28,0.1,23.0
jky_293565,2061,Southwell,crs_1586,GB,30,0,4,4,4,0.0,0.0,-30.0
jky_293565,2061,Cheltenham,crs_286,GB,19,1,1,0,1,1.06,0.05,2.0
jky_293565,2061,Bangor-on-Dee,crs_104,GB,17,0,4,0,2,0.0,0.0,-17.0
jky_293565,2061,Huntingdon,crs_676,GB,10,1,0,0,3,1.9,0.1,-2.0
jky_293565,2061,Leicester,crs_780,GB,7,0,1,0,0,0.0,0.0,-7.0
jky_293565,2061,Taunton,crs_1898,GB,6,1,1,1,0,1.08,0.17,9.0
jky_293565,2061,Stratford,crs_1742,GB,5,0,0,1,1,0.0,0.0,-5.0
jky_293565,2061,Wincanton,crs_2340,GB,4,0,1,0,1,0.0,0.0,-4.0
jky_293565,2061,Kempton,crs_728,GB,4,0,0,1,0,0.0,0.0,-4.0
jky_293565,2061,Worcester,crs_2626,GB,4,1,1,1,1,1.4,0.25,-1.75
jky_293565,2061,Ascot,crs_52,GB,4,0,0,0,0,0.0,0.0,-4.0
jky_293565,2061,Plumpton,crs_1144,GB,3,0,1,1,1,0.0,0.0,-3.0
jky_293565,2061,Ludlow,crs_884,GB,3,1,1,0,0,1.25,0.33,-0.9
jky_293565,2061,Sandown,crs_1404,GB,3,0,1,0,0,0.0,0.0,-3.0
jky_293565,2061,Chepstow,crs_312,GB,2,0,0,0,0,0.0,0.0,-2.0
jky_293565,2061,York,crs_2782,GB,2,0,0,1,0,0.0,0.0,-2.0
jky_293565,2061,Warwick,crs_2210,GB,2,0,0,0,0,0.0,0.0,-2.0
jky_293565,2061,Chester,crs_338,GB,2,1,1,0,0,2.04,0.5,3.5
