jockey_id,total_rides,dist,dist_y,dist_m,dist_f,rides,1st,2nd,3rd,4th,a/e,win_%,1_pl
jky_295839,554,2m,3527,3225.0,16f,88,6,3,4,4,0.9,0.07,-31.5
jky_295839,554,2m4f,4400,4023.0,20f,44,4,4,2,4,1.02,0.09,-25.0
jky_295839,554,2m½f,3680,3365.0,16.5f,36,2,2,1,5,0.65,0.06,-7.0
jky_295839,554,1m,1760,1609.0,8f,32,1,3,1,3,0.38,0.03,-26.5
jky_295839,554,2m1f,3722,3403.0,17f,30,2,2,3,1,0.8,0.07,-16.5
jky_295839,554,2m3f,4158,3802.0,19f,29,3,2,0,3,1.1,0.1,-18.95
jky_295839,554,2m4½f,4526,4139.0,20.5f,27,2,2,0,2,0.93,0.07,-1.5
jky_295839,554,7f,1533,1402.0,7f,21,1,2,1,0,0.74,0.05,-17.75
jky_295839,554,3m,5298,4845.0,24f,20,2,1,3,4,0.93,0.1,15.0
jky_295839,554,2m2f,3916,3581.0,18f,17,0,1,2,1,0.0,0.0,-17.0
jky_295839,554,3m½f,5350,4892.0,24.5f,16,6,1,1,0,3.15,0.38,27.5
jky_295839,554,2m1½f,3884,3552.0,17.5f,16,2,2,3,1,2.21,0.12,15.0
jky_295839,554,1m2f,2200,2012.0,10f,15,0,1,3,1,0.0,0.0,-15.0
jky_295839,554,2m3½f,4289,3922.0,19.5f,14,0,1,0,1,0.0,0.0,-14.0
jky_295839,554,1m7½f,3436,3142.0,15.5f,13,0,0,0,1,0.0,0.0,-13.0
jky_295839,554,2m6f,4893,4474.0,22f,13,1,0,0,3,1.38,0.08,-8.0
jky_295839,554,2m6½f,4988,4561.0,22.5f,12,2,0,1,1,1.32,0.17,-4.5
jky_295839,554,6f,1320,1207.0,6f,12,0,0,1,2,0.0,0.0,-12.0
jky_295839,554,5f,1100,1006.0,5f,11,0,0,2,0,0.0,0.0,-11.0
jky_295839,554,2m5f,4576,4184.0,21f,11,0,1,0,1,0.0,0.0,-11.0
jky_295839,554,2m7f,5051,4619.0,23f,11,2,0,2,0,1.51,0.18,14.0
jky_295839,554,2m5½f,4730,4325.0,21.5f,11,0,0,2,1,0.0,0.0,-11.0
jky_295839,554,1m4f,2654,2427.0,12f,9,0,1,0,2,0.0,0.0,-9.0
jky_295839,554,1m4½f,2724,2491.0,12.5f,6,0,0,1,0,0.0,0.0,-6.0
jky_295839,554,1m½f,1902,1739.0,8.5f,6,1,0,0,0,2.46,0.17,1.0
jky_295839,554,3m1f,5463,4995.0,25f,5,0,0,1,1,0.0,0.0,-5.0
jky_295839,554,2m7½f,5122,4684.0,23.5f,5,1,0,1,0,1.89,0.2,10.0
jky_295839,554,2m2½f,4035,3690.0,18.5f,4,0,0,1,0,0.0,0.0,-4.0
jky_295839,554,1m1½f,2080,1902.0,9.5f,3,0,0,0,0,0.0,0.0,-3.0
jky_295839,554,7½f,1650,1509.0,7.5f,2,0,1,1,0,0.0,0.0,-2.0
jky_295839,554,3m2f,5720,5230.0,26f,2,0,0,0,0,0.0,0.0,-2.0
jky_295839,554,3m1½f,5656,5172.0,25.5f,2,1,0,0,0,5.82,0.5,7.5
