race_id,course_decoded,off_time,horse_decoded,predicted_prob,odds_decimal,field_size_unscaled
rac_11563136,Aintree,1:20,Kamsinas,0.6504686,-0.0677756501879737,19
rac_11563136,Aintree,1:20,Catch Him Derry,0.60442245,-0.4003492838982827,19
rac_11563136,Aintree,1:20,Dinons,0.26841527,1.4050504419576804,19
rac_11563136,Aintree,1:20,Bill Joyce,0.25215006,-0.3053282456953373,19
rac_11563123,Aintree,1:55,Regent's Stroll,0.7519583,-0.3053282456953373,11
rac_11563123,Aintree,1:55,Good And Clever,0.23049133,0.0985111666671807,11
rac_11563123,Aintree,1:55,Miami Magic,0.20052306,-0.1627966883909191,11
rac_11563110,Aintree,2:30,Cruz Control,0.57162595,-0.3053282456953373,16
rac_11563110,Aintree,2:30,Sam Brown,0.43545124,-0.1627966883909191,16
rac_11563110,Aintree,2:30,Happygolucky,0.32235706,-0.3409611350214419,16
rac_11563110,Aintree,2:30,Peaky Boy,0.20920275,-0.3290835052460736,16
rac_11563084,Aintree,3:05,Jetara,0.7309954,0.1697769453193898,13
rac_11563084,Aintree,3:05,Teahupoo,0.6226958,-0.4300433583367032,13
rac_11563084,Aintree,3:05,Strong Leader,0.4456448,-0.3647163945721782,13
rac_11510278,Aintree,4:00,I Am Maximus,0.6931703,-0.35283876479681,30
rac_11510278,Aintree,4:00,Minella Indo,0.6086037,0.0272453880149716,30
rac_11563097,Aintree,5:00,Kalif Du Berlais,0.6337421,-0.4419209881120713,6
rac_11563097,Aintree,5:00,Only By Night,0.5617286,-0.4359821732243872,6
rac_11563149,Aintree,5:35,Our Boy Stan,0.75568986,0.0985111666671807,18
rac_11563149,Aintree,5:35,El Cairos,0.2466384,-0.3765940243475464,18
rac_11563149,Aintree,5:35,Frontier Prince,0.22523254,0.2885532430730715,18
rac_11563149,Aintree,5:35,Swingin Safari,0.21060015,0.0985111666671807,18
rac_11563227,Chepstow,1:10,Timetoshine,0.72961795,-0.4941825591236913,4
rac_11563188,Chepstow,1:40,Boston Joe,0.49878445,-0.3884716541229145,6
rac_11563188,Chepstow,1:40,Lucky Lugger,0.47039425,-0.4478598029997555,6
rac_11563175,Chepstow,2:15,Nothin To Ask,0.4446474,-0.3647163945721782,5
rac_11563175,Chepstow,2:15,The Boola Boss,0.13672617,-0.4359821732243872,5
rac_11563201,Chepstow,2:50,Keppel Queen,0.5065534,-0.4478598029997555,5
rac_11563201,Chepstow,2:50,Smugglers Haven,0.118890665,-0.4566492490335279,5
rac_11563214,Chepstow,3:32,Zambezi Fix,0.43663543,-0.4537986178874395,4
rac_11563240,Chepstow,4:38,Impecunious,0.45634323,-0.2815729861446009,10
rac_11563240,Chepstow,4:38,Victor Haze,0.1552403,-0.4507104341458438,10
rac_11563240,Chepstow,4:38,Bells Of Ufford,0.15423355,-0.3053282456953373,10
rac_11563162,Chepstow,12:40,Laughing John,0.38132474,-0.4818298241573084,4
rac_11563279,Newcastle,1:30,Small Town Kid,0.16841881,-0.4122269136736509,7
rac_11563279,Newcastle,1:30,Little Roger,0.13677117,0.0985111666671807,7
rac_11563318,Newcastle,2:05,She's A Rocca,0.67988396,-0.2815729861446009,10
rac_11563318,Newcastle,2:05,Luminaries,0.59880435,-0.4300433583367032,10
rac_11563318,Newcastle,2:05,Leader Wing,0.43742508,-0.3647163945721782,10
rac_11563253,Newcastle,2:40,Special Rate,0.660787,-0.4003492838982827,7
rac_11563253,Newcastle,2:40,Choosethenews,0.65177643,-0.4241045434490191,7
rac_11563266,Newcastle,3:25,Thank You Blue,0.5514934,-0.4656762476628077,5
rac_11563266,Newcastle,3:25,Anyharminasking,0.5215668,-0.3884716541229145,5
rac_11563292,Newcastle,4:30,Ribeye,0.48231888,-0.3765940243475464,5
rac_11563292,Newcastle,4:30,Jac Jumper,0.4642018,-0.462588063921212,5
rac_11563331,Newcastle,5:05,Japetus,0.7670639,-0.4692395365954181,6
rac_11563331,Newcastle,5:05,Walk On Son,0.14252901,0.454840059928226,6
rac_11563305,Newcastle,12:55,Lady Hamilton,0.24804987,-0.2578177265938646,9
rac_11563305,Newcastle,12:55,Heather Honey,0.19991398,-0.4300433583367032,9
rac_11563305,Newcastle,12:55,Somebody's Fortune,0.15626614,-0.1152861692894464,9
rac_11565073,Wolverhampton (AW),4:45,Be An Angel,0.72741246,-0.2103072074923919,9
rac_11565073,Wolverhampton (AW),4:45,Queenofdestruction,0.63818944,-0.4003492838982827,9
rac_11565073,Wolverhampton (AW),4:45,Genius Mistake,0.36690548,-0.2815729861446009,9
rac_11565060,Wolverhampton (AW),5:15,Special Ghaiyyath,0.6482818,-0.3765940243475464,6
rac_11565060,Wolverhampton (AW),5:15,Mythical Isle,0.5891315,0.6923926554355896,6
