race_id     , course_decoded    , off_time, horse_decoded     , predicted_prob, odds_decimal       , field_size_unscaled
rac_11575785, Kelso             , 1:45    , Cloonainra        ,    0.76930016 , -0.4721414600513201,                   9
rac_11575785, Kelso             , 1:45    , Go Go Chicago     ,    0.17906417 , -0.258281740468964 ,                   9
rac_11575785, Kelso             , 1:45    , Saracen Beau      ,    0.11776798 , -0.4347336543157925,                   9
rac_11575759, Kelso             , 2:15    , High Dancer       ,    0.31096962 , -0.375916349700183 ,                  10
rac_11575759, Kelso             , 2:15    , Dollar Collar     ,    0.24559547 , -0.2112278967764764,                  10
rac_11575759, Kelso             , 2:15    , Diamond Dealer    ,    0.18330629 , -0.4347336543157925,                  10
rac_11575746, Kelso             , 2:45    , Flash Du Pistolet ,    0.8649016  , -0.4582605761620363,                   9
rac_11575746, Kelso             , 2:45    , Ozzy Cosmo        ,    0.63482475 , -0.3288625060076954,                   9
rac_11575746, Kelso             , 2:45    , Fete Champetre    ,    0.571538   , -0.2818086623152078,                   9
rac_11575733, Kelso             , 3:15    , Saint Arvans      ,    0.770748   , -0.2112278967764764,                   9
rac_11575733, Kelso             , 3:15    , Half Shot         ,    0.4559139  , -0.2818086623152078,                   9
rac_11575733, Kelso             , 3:15    , Ganapathi         ,    0.24967985 , -0.375916349700183 ,                   9
rac_11575772, Kelso             , 3:45    , She's Notjoeking  ,    0.7345201  , -0.4229701933926706,                   9
rac_11575772, Kelso             , 3:45    , Winds Of Winter   ,    0.2081913  , -0.4406153847773534,                   9
rac_11575772, Kelso             , 3:45    , Max Of Stars      ,    0.15520088 , -0.2818086623152078,                   9
rac_11575798, Kelso             , 4:15    , Slaney Opera      ,    0.28293356 , -0.3994432715464268,                   6
rac_11575798, Kelso             , 4:15    , Deerstalker       ,    0.090882055, -0.3994432715464268,                   6
rac_11575811, Kelso             , 4:45    , Lester Mail       ,    0.06272119 , -0.4610838067835855,                   5
rac_11575811, Kelso             , 4:45    , Golden Whirl      ,    0.01       , -0.3641528887770611,                   5
rac_11578073, Kempton (AW)      , 4:53    , Cantalice         ,    0.048971154, 3.035487318005167  ,                   5
rac_11578073, Kempton (AW)      , 4:53    , Chilli Queen      ,    0.03284497 , -0.3523894278539392,                   5
rac_11578086, Kempton (AW)      , 5:25    , My Kinda Ghaiy    ,    0.23113285 , -0.1641740530839888,                  13
rac_11578086, Kempton (AW)      , 5:25    , Tatmeen           ,    0.11724813 , 3.035487318005167  ,                  13
rac_11578086, Kempton (AW)      , 5:25    , Mr Phillips       ,    0.08799002 , 6.564525594941736  ,                  13
rac_11601161, Kempton (AW)      , 6:00    , Fifth Column      ,    0.17985673 , -0.4740236137990196,                  10
rac_11601161, Kempton (AW)      , 6:00    , Deep Water Bay    ,    0.13139445 , 8.917217779566116  ,                  10
rac_11601161, Kempton (AW)      , 6:00    , Keble Spirit      ,    0.092265174, 0.2828374619946432 ,                  10
rac_11578021, Kempton (AW)      , 6:30    , Atlantic Gamble   ,    0.720229   , -0.3288625060076954,                  12
rac_11578021, Kempton (AW)      , 6:30    , Hieronymus        ,    0.55196476 , -0.2112278967764764,                  12
rac_11578021, Kempton (AW)      , 6:30    , Rhythm N Rock     ,    0.47949505 , 0.2828374619946432 ,                  12
