course_decoded,off_time,horse_decoded,predicted_prob,odds_decimal
Ayr,1:10,Homme Public,0.5287163,-0.3053355841614516
Ayr,1:43,Eyed,0.5809827,-0.3288625060076954
Ayr,2:15,Dysart Enos,0.6427827,-0.3053355841614516
Ayr,2:55,Lavida Adiva,0.59560454,-0.3876798106233049
Ayr,3:35,Macdermott,0.67470825,-0.2112278967764764
Ayr,4:10,Quebecois,0.17421028,-0.3876798106233049
Ayr,4:45,Gale Mahler,0.5927619,-0.3641528887770611
Ayr,5:20,Driftwood Bounty,0.60290194,-0.2112278967764764
Bangor-on-Dee,1:35,Ki Woo,0.41343668,-0.3876798106233049
Bangor-on-Dee,2:08,Higgs,0.31568545,-0.3170990450845735
Bangor-on-Dee,2:45,Don Rafael,0.4561367,-0.375916349700183
Bangor-on-Dee,3:20,King Ulanda,0.18937793,-0.4493203458604637
Bangor-on-Dee,3:59,Do Your Job,0.4300681,-0.4288519238542315
Bangor-on-Dee,4:34,Kuzco,0.61069584,-0.3876798106233049
Bangor-on-Dee,5:09,Vesalius,0.11455677,1.8591412256929776
Brighton,3:49,Rogue Bullet,0.12573166,-0.3876798106233049
Brighton,4:24,Alkuwarrior,0.11050745,-0.4229701933926706
Brighton,4:59,Time Patrol,0.53051925,-0.3523894278539392
Brighton,5:30,Lexington Knight,0.53620964,-0.3288625060076954
Brighton,6:00,Khangai,0.3079739,-0.3876798106233049
Brighton,6:30,Sunny Corner,0.47390714,-0.375916349700183
Brighton,7:00,Light Up Our Stars,0.40493068,-0.4152063091834101
Brighton,7:30,Hellavapace,0.4944646,-0.3994432715464268
Newbury,1:25,Ancient Wisdom,0.29498377,-0.4229701933926706
Newbury,2:00,Mountain Breeze,0.5592644,-0.3994432715464268
Newbury,2:35,Al Qudra,0.67470515,-0.3876798106233049
Newbury,3:12,Pearl Eye,0.674713,-0.1171202093915012
Newbury,3:45,Mighty Boy,0.09705603,-0.3288625060076954
Newbury,4:19,Bryant,0.14744097,-0.375916349700183
Newbury,4:54,Rockit Tommy,0.6652262,-0.258281740468964
Nottingham,4:05,Bama Lama,0.43028742,-0.3288625060076954
Nottingham,4:40,Star Zia,0.39056394,-0.3406259669308173
Nottingham,5:15,Captain Potter,0.5346863,-0.4288519238542315
Nottingham,5:50,Archivist,0.12885085,-0.4523788457004754
Nottingham,6:20,Royal Observatory,0.16559473,-0.3523894278539392
Nottingham,6:50,Hock Eye The Noo,0.38347125,-0.4112067324695487
Nottingham,7:20,Fifty Sent,0.28834674,-0.4112067324695487
Thirsk,3:55,Lady Of Honour,0.098369926,1.0592258829206884
Thirsk,4:30,Festive Time,0.18083867,0.2828374619946432
Thirsk,5:05,Paborus,0.5632949,-0.4493203458604637
Thirsk,5:40,King Of Fury,0.5633378,-0.3288625060076954
Thirsk,6:10,Baltic,0.53065705,-0.4229701933926706
Thirsk,6:40,Muscika,0.4934846,-0.2818086623152078
Thirsk,7:10,Lord Abama,0.54845065,-0.4406153847773534
Thirsk,7:40,John Kirkup,0.5744661,-0.1171202093915012
