race_id     , course_decoded, off_time, horse_decoded     , predicted_prob, odds_decimal        , field_size_unscaled
rac_11575317, Beverley      , 1:40    , Museum Piece      ,    0.01       , -0.35529698062119425,                   3
rac_11575239, Beverley      , 2:15    , Dickieburd        ,    0.7618863  , -0.16370328056099276,                   9
rac_11575239, Beverley      , 2:15    , King Of Tonga     ,    0.72585714 , -0.23555091808356832,                   9
rac_11575239, Beverley      , 2:15    , Elegant Erin      ,    0.40544432 , -0.33134776811366906,                   9
rac_11612081, Beverley      , 2:50    , Angel Shared      ,    0.85217804 , -0.4031954056362446 ,                   9
rac_11612081, Beverley      , 2:50    , Duran             ,    0.73099524 , -0.37924619312871943,                   9
rac_11612081, Beverley      , 2:50    , Hiya Maite        ,    0.670714   , -0.41517001189000724,                   9
rac_11575304, Beverley      , 3:25    , Arkinthestars     ,    0.033187006, -0.39122079938248205,                   7
rac_11575304, Beverley      , 3:25    , Adoon Valley      ,    0.01       , -0.4702532006573151 ,                   7
rac_11575252, Beverley      , 4:00    , Lightening Mann   ,    0.07944986 , -0.45708113377817633,                   6
rac_11575252, Beverley      , 4:00    , Edge Ofthe Unknown,    0.023237854, -0.4031954056362446 ,                   6
rac_11575265, Beverley      , 4:32    , Freddy Robinson   ,    0.96740794 , -0.4031954056362446 ,                   8
rac_11575265, Beverley      , 4:32    , Prince Achille    ,    0.84757614 , -0.21160170557604313,                   8
rac_11575265, Beverley      , 4:32    , Sisterandbrother  ,    0.091038354, -0.16370328056099276,                   8
rac_11575291, Beverley      , 5:07    , Law Degree        ,    0.9586114  , -0.37924619312871943,                  13
rac_11575291, Beverley      , 5:07    , Blueandtangerine  ,    0.857689   , -0.2595001305910935 ,                  13
rac_11575291, Beverley      , 5:07    , Berkshire Smudge  ,    0.21194026 , -0.2595001305910935 ,                  13
rac_11575278, Beverley      , 5:37    , Astronomica       ,    0.9022114  , -0.37924619312871943,                  12
rac_11575278, Beverley      , 5:37    , Coloane           ,    0.565297   , -0.21160170557604313,                  12
rac_11575278, Beverley      , 5:37    , Beautiful Dawn    ,    0.219901   , 0.09973805702178412 ,                  12
rac_11577267, Cheltenham    , 1:30    , Block Rockin Beats,    0.041208543, -0.0679064305308921 ,                   9
rac_11577267, Cheltenham    , 1:30    , The Long Walk     ,    0.026273208, 0.02789041949920856 ,                   9
rac_11577267, Cheltenham    , 1:30    , Pleasington       ,    0.021480406, -0.3073985556061439 ,                   9
rac_11577241, Cheltenham    , 2:05    , Whatsupwithyou    ,    0.95335215 , 0.17158569454435968 ,                  15
rac_11577241, Cheltenham    , 2:05    , Doyen Quest       ,    0.619973   , -0.21160170557604313,                  15
rac_11577241, Cheltenham    , 2:05    , Royale Margaux    ,    0.436823   , -0.21160170557604313,                  15
rac_11577202, Cheltenham    , 2:40    , O'Moore Park      ,    0.94999945 , -0.41517001189000724,                  10
rac_11577202, Cheltenham    , 2:40    , Hang In There     ,    0.09397582 , -0.16370328056099276,                  10
rac_11577202, Cheltenham    , 2:40    , Blow Your Wad     ,    0.06100108 , -0.3073985556061439 ,                  10
rac_11577254, Cheltenham    , 3:15    , Illico De Cotte   ,    0.23167087 , -0.23555091808356832,                  15
rac_11577254, Cheltenham    , 3:15    , Valirann Gold     ,    0.114659786, 0.29133175708198567 ,                  15
rac_11577254, Cheltenham    , 3:15    , Ask Brewster      ,    0.07953551 , -0.35529698062119425,                  15
rac_11577228, Cheltenham    , 3:50    , Long Draw         ,    0.96803373 , -0.4031954056362446 ,                  10
rac_11577228, Cheltenham    , 3:50    , Super Survivor    ,    0.7785386  , -0.2595001305910935 ,                  10
rac_11577228, Cheltenham    , 3:50    , Dashel Drasher    ,    0.77182025 , -0.33134776811366906,                  10
rac_11577215, Cheltenham    , 4:25    , Moroder           ,    0.9541189  , -0.41517001189000724,                   7
rac_11577215, Cheltenham    , 4:25    , Grandads Cottage  ,    0.90691745 , -0.37924619312871943,                   7
rac_11577280, Cheltenham    , 5:00    , Big Boy Bobby     ,    0.97892326 , -0.3073985556061439 ,                  16
rac_11577280, Cheltenham    , 5:00    , Mary              ,    0.5825367  , -0.11580485554594236,                  16
