sire_id,sire_name,total_runners,class,runners,1st,2nd,3rd,4th,a/e,win_%,1_pl
sir_3932551,Khalkevi (IRE),936,,555,71,61,59,52,1.1,0.13,100.6
sir_3932551,Khalkevi (IRE),936,Class 4,138,27,21,12,18,1.0,0.2,3.37
sir_3932551,Khalkevi (IRE),936,Class 3,96,17,10,10,9,1.08,0.18,-0.42
sir_3932551,Khalkevi (IRE),936,Class 1,48,3,8,4,6,0.47,0.06,-28.0
sir_3932551,Khalkevi (IRE),936,Class 5,43,5,5,6,4,0.83,0.12,-15.81
sir_3932551,Khalkevi (IRE),936,Class 2,43,6,7,2,6,0.68,0.14,-16.19
sir_3932551,Khalkevi (IRE),936,Class 6,13,4,1,2,1,1.95,0.31,24.25
sir_3297462,Kayf Tara (GB),13739,Class 4,4783,651,654,582,524,0.87,0.14,-1327.31
sir_3297462,Kayf Tara (GB),13739,Class 5,2473,299,244,245,279,0.94,0.12,-145.67
sir_3297462,Kayf Tara (GB),13739,,2232,244,264,237,215,0.77,0.11,-715.45
sir_3297462,Kayf Tara (GB),13739,Class 3,1607,216,240,230,188,0.82,0.13,-404.65
sir_3297462,Kayf Tara (GB),13739,Class 6,1014,134,129,120,96,1.0,0.13,-27.91
sir_3297462,Kayf Tara (GB),13739,Class 1,946,103,98,103,99,0.87,0.11,-225.27
sir_3297462,Kayf Tara (GB),13739,Class 2,670,91,77,69,74,0.97,0.14,-38.37
sir_3297462,Kayf Tara (GB),13739,Class 7,14,0,2,2,0,0.0,0.0,-14.0
sir_6307308,Chanducoq (FR),62,,57,0,4,9,7,0.0,0.0,-57.0
sir_6307308,Chanducoq (FR),62,Class 4,3,2,1,0,0,1.16,0.67,0.09
sir_6307308,Chanducoq (FR),62,Class 1,1,0,0,0,0,0.0,0.0,-1.0
sir_6307308,Chanducoq (FR),62,Class 3,1,0,1,0,0,0.0,0.0,-1.0
sir_4944793,Kamsin (GER),721,,463,45,45,37,46,0.95,0.1,41.9
sir_4944793,Kamsin (GER),721,Class 4,93,12,13,15,12,0.7,0.13,-36.33
sir_4944793,Kamsin (GER),721,Class 5,88,10,10,12,11,0.89,0.11,-19.45
sir_4944793,Kamsin (GER),721,Class 3,30,6,4,4,8,1.0,0.2,-11.3
sir_4944793,Kamsin (GER),721,Class 2,17,2,2,1,3,0.82,0.12,-4.25
