race_id,horse_id,position
rac_11574771,hrs_36793652,1
rac_11574771,hrs_35796698,2
rac_11574771,hrs_22149911,3
rac_11574771,hrs_24819613,4
rac_11574771,hrs_24948539,5
rac_11574771,hrs_31287844,6
rac_11574771,hrs_35675647,7
rac_11574771,hrs_40942076,8
rac_11574771,hrs_22180802,9
rac_11574771,hrs_29906835,10
rac_11574771,hrs_35796677,11
rac_11574771,hrs_10303090,11
rac_11574771,hrs_36696289,13
rac_11574771,hrs_36515157,14
rac_11574771,hrs_6260142,15
rac_11574771,hrs_35149149,16
rac_11574771,hrs_35686567,17
rac_11610573,hrs_29538572,1
rac_11610573,hrs_35580545,2
rac_11610573,hrs_41939191,3
rac_11610573,hrs_22523641,4
rac_11610573,hrs_24066763,5
rac_11610573,hrs_22487899,6
rac_11610573,hrs_35484491,7
rac_11610573,hrs_21404446,8
rac_11610573,hrs_23441712,9
rac_11574667,hrs_19107767,1
rac_11574667,hrs_20016514,2
rac_11574667,hrs_33904752,3
rac_11574667,hrs_32808832,4
rac_11574667,hrs_36123003,5
rac_11574667,hrs_37932510,6
rac_11574667,hrs_35714483,7
rac_11574667,hrs_35580720,8
rac_11574667,hrs_36036826,9
rac_11574667,hrs_31565534,10
rac_11574667,hrs_39296383,11
rac_11610612,hrs_31069430,1
rac_11610612,hrs_21403753,2
rac_11610612,hrs_23568251,3
rac_11610612,hrs_30907968,4
rac_11610612,hrs_27166524,5
rac_11610612,hrs_41072556,6
rac_11610612,hrs_18892335,7
rac_11610612,hrs_24907680,8
rac_11610612,hrs_30455362,9
rac_11574576,hrs_35528689,1
rac_11574576,hrs_15429393,2
rac_11574576,hrs_30344769,3
rac_11574576,hrs_15536668,4
rac_11574576,hrs_17762213,5
rac_11574576,hrs_36665076,6
rac_11574576,hrs_41153014,7
rac_11574628,hrs_41346466,1
rac_11574628,hrs_45095148,2
rac_11574628,hrs_42041398,3
rac_11574628,hrs_42944083,4
rac_11574628,hrs_44043706,5
rac_11574628,hrs_42451997,6
rac_11574628,hrs_47655293,7
rac_11574628,hrs_44481290,8
rac_11574745,hrs_38119074,1
rac_11574745,hrs_36738653,2
rac_11574745,hrs_25263273,3
rac_11574745,hrs_36738667,4
rac_11574745,hrs_24846409,5
rac_11574745,hrs_31660874,6
rac_11574745,hrs_10524024,7
rac_11574745,hrs_39848648,8
rac_11574745,hrs_7313033,9
rac_11574745,hrs_24685913,10
rac_11574524,hrs_31189613,1
rac_11574524,hrs_33165104,2
rac_11574524,hrs_35336861,3
rac_11574524,hrs_36484994,4
rac_11574524,hrs_17763319,5
rac_11574524,hrs_24854599,6
rac_11574615,hrs_33150019,1
rac_11574615,hrs_37686880,2
