trainer_id,total_rides,horse_age,runners,1st,2nd,3rd,4th,a/e,win_%,1_pl
trn_118584,0,6,1208,246,174,128,114,0.99,0.2,-117.89
trn_118584,0,7,998,197,138,110,97,1.03,0.2,-23.11
trn_118584,0,5,994,175,151,101,89,0.91,0.18,-185.82
trn_118584,0,8,753,121,114,78,91,0.92,0.16,-139.74
trn_118584,0,9,530,74,77,71,60,0.9,0.14,-81.55
trn_118584,0,10,374,48,47,40,44,0.93,0.13,31.54
trn_118584,0,4,345,48,59,34,31,0.79,0.14,-133.16
trn_118584,0,11,198,24,21,30,20,0.92,0.12,-14.97
trn_118584,0,12,105,19,3,13,7,1.53,0.18,115.42
trn_118584,0,13,43,4,9,5,7,0.67,0.09,-28.0
trn_118584,0,3,31,4,6,3,4,0.77,0.13,-14.5
trn_118584,0,14,9,2,2,0,2,1.38,0.22,15.25
trn_118584,0,15,3,2,0,0,0,4.16,0.67,6.5
trn_169875,0,5,1299,119,163,124,124,0.79,0.09,-379.93
trn_169875,0,4,1081,78,88,82,116,0.77,0.07,-453.85
trn_169875,0,6,1011,115,94,104,100,0.92,0.11,-322.21
trn_169875,0,7,847,99,79,100,90,0.92,0.12,-193.59
trn_169875,0,3,618,46,53,60,69,0.82,0.07,-320.63
trn_169875,0,8,515,42,68,52,50,0.72,0.08,-191.43
trn_169875,0,9,269,37,24,24,30,1.21,0.14,3.42
trn_169875,0,2,232,13,11,24,16,0.9,0.06,-124.25
trn_169875,0,10,113,15,10,11,7,1.11,0.13,23.62
trn_169875,0,11,40,5,3,2,2,0.95,0.12,-15.3
trn_169875,0,12,16,0,0,1,2,0.0,0.0,-16.0
trn_169875,0,13,1,0,0,0,0,0.0,0.0,-1.0
trn_230715,0,6,285,18,23,21,27,0.83,0.06,-99.5
trn_230715,0,5,235,13,12,24,15,0.83,0.06,-158.28
trn_230715,0,7,226,26,21,27,16,1.14,0.12,13.15
trn_230715,0,8,145,14,13,17,16,0.95,0.1,-48.79
trn_230715,0,9,109,6,11,8,15,0.55,0.06,-20.0
trn_230715,0,4,89,1,5,6,6,0.29,0.01,-82.0
trn_230715,0,10,80,3,13,6,8,0.38,0.04,-66.5
trn_230715,0,11,56,3,7,3,3,0.58,0.05,-16.5
trn_230715,0,12,21,0,0,1,7,0.0,0.0,-21.0
trn_230715,0,13,1,0,0,0,0,0.0,0.0,-1.0
trn_57159,0,6,266,28,23,31,25,1.04,0.11,-3.03
trn_57159,0,7,229,21,23,23,34,0.79,0.09,-102.43
trn_57159,0,5,178,10,12,17,16,0.68,0.06,-92.48
trn_57159,0,8,162,14,14,16,21,0.76,0.09,-65.17
trn_57159,0,9,117,10,14,17,9,0.68,0.09,-52.0
trn_57159,0,10,102,11,7,19,16,0.84,0.11,-33.0
trn_57159,0,11,65,10,5,8,8,1.44,0.15,11.88
trn_57159,0,4,29,2,4,2,2,0.99,0.07,-16.5
trn_57159,0,12,27,3,6,2,2,0.9,0.11,1.1
trn_57159,0,13,3,1,0,0,1,2.18,0.33,6.0
trn_57159,0,3,1,0,0,1,0,0.0,0.0,-1.0
trn_40239,0,7,363,50,58,47,43,0.84,0.14,-45.16
trn_40239,0,6,322,46,42,33,46,0.89,0.14,-64.37
trn_40239,0,8,284,32,34,35,31,0.7,0.11,-112.37
