dam_id,dam
dam_5923631,Princess Leya
dam_3580934,Belle Yepa
dam_5697293,Rattlin
dam_10255994,Terebella
dam_48112330,Quintalea
dam_4611607,Runaround Sue
dam_7182000,Ballyknock Mist
dam_6195609,Whizzzey Rascal
dam_34571726,Follow The Icon
dam_5207979,Sherry Darling
dam_4257253,New Saga
dam_5105002,Nid D'Amour
dam_15525566,Shannon Verse
dam_6026097,One Of The Last
dam_5580428,Miss Ballantyne
dam_8549548,Mademoiselle Marie
dam_7160419,Chandos Rose
dam_6302646,Queen Alpha
dam_11542580,Meldown
dam_5962376,Kayf Hampshire
dam_6348412,Asiana
dam_5220460,Sorcillera
dam_4721017,Bincas Beauty
dam_5984489,Mondovi
dam_33344738,Royale Canaille
dam_5252324,Singapore Harbour
dam_5479152,Egretta Island
dam_16774975,Coolmara
dam_4721038,Run Cat
dam_5836320,Reves D'Amour
dam_27916672,Thanks Awfully
dam_5463619,Scanelle
dam_17743859,Elna D'Airy
dam_5467791,Crowning Virtue
dam_5278637,Big Time Billy
dam_5573141,Ot Love
dam_23643298,Gola Star
dam_10407530,Crumpledandcreased
dam_5400703,Prodiga
dam_4842292,Rowdy Exit
dam_5482785,Mont Doree
dam_13004593,Onewayortheother
dam_37890839,Veranda Of Heaven
dam_4475093,Morning Rose
dam_5005504,Miracle Lady
dam_5037144,Perle D'Ainay
dam_8042419,Caline Des Bordes
dam_5650092,Dame De Pail
dam_18055289,Mercy Mission
dam_5479383,Toledana
dam_4917934,Ashwell Lady
dam_5948698,Bespoke Lady
dam_7060858,Princesse Du Large
dam_5256048,Lisdaleen
dam_31785845,Gaye Native
dam_5966044,Marmande
dam_4506950,Mini Dane
dam_10214750,Captain Supreme
dam_18333287,Mazagane
dam_12365073,Celine Message
dam_13285328,Nifty Nuala
dam_27997529,Eau Tenebreuse
dam_5978511,Adreamstillalive
dam_5148115,Epee Celeste
dam_5606741,Elsie
dam_7185808,Somethinaboutmolly
dam_4980038,Evening Sunset
dam_4827935,Zariziyna
dam_5675992,Cove
dam_5430880,Set In Her Ways
dam_11784549,Wind Chimes
dam_5697223,Loreto
dam_3057992,Starflower
dam_6313237,Malawa
dam_5230911,Poppy Come Running
dam_5020120,Chibola
dam_5608260,Ballymena Lassie
dam_5995934,A Merveille
dam_5595422,Between Us
dam_4480504,Rouvraie
dam_5618389,Elle Woods
dam_21667310,Une Deux Trois
dam_4661986,Serpentaria
dam_5339222,Rheinland
dam_5642875,Patsie Magern
dam_4109091,Bonne Mere
dam_5682082,Letterwoman
dam_4953417,Enchanted Valley
dam_3867836,Bluebell Line
dam_6028260,Simplyonelady
dam_33558588,Midnight Seranade
dam_3935953,Peratus
dam_5952877,Royal Warranty
dam_6024592,Rose Bombon
dam_13261710,A Great Beauty
dam_30192337,Azagirl
dam_5168576,Vezere
dam_6111896,Pearl Diamond
dam_29212344,Bowling Green
dam_6337485,Melangerie
dam_28904232,Queen Of The Glen
dam_4374153,Laetitia
dam_34470611,Unwind
dam_4178979,Very Special One
dam_5030872,Cill Rialaig
dam_24747366,Soraya Pearl
dam_5936021,Miziella
dam_18337718,Spring Of Love
dam_5854779,Sopran Enery
dam_6282829,Loyale
dam_15720488,Stella D'italia
dam_4675699,Fresnay
dam_22828211,Rock Orchid
dam_6168862,Sante
dam_6011159,Gregoria
dam_7368109,Street Jazz
dam_5458936,Crimson Sunrise
dam_5843425,Random Success
dam_6005650,Wojha
dam_5849998,Suite
dam_5311768,Al Janadeirya
dam_5848654,Laughing Dove
dam_10934917,Jackie Sparrow
dam_5902771,Enliven
dam_4977098,Naias
dam_4385598,Gilt Linked
dam_5713155,Mulled Wine
dam_4706625,Harryana To
dam_5725216,Avon Breeze
dam_30540825,Simballina
dam_6818518,Shamreen
dam_4612909,Adaptation
dam_5682152,Tumblewind
dam_5157768,Capulet Monteque
dam_7107723,Grizzel
dam_3908772,Enchanted Princess
dam_8525517,Mary Thomas
dam_5907321,Bereka
dam_6282675,Intermittent
dam_5867505,Goadby
dam_6061846,Queen's Pearl
dam_15715994,Reproof
dam_5833240,Laurelita
dam_42005523,Divina Carina
dam_4458265,Aristocratic Lady
dam_4993835,Azalee
dam_8294132,Star Rock
dam_4706541,Basque Beauty
dam_6068860,Mayhem
dam_18929239,Compostela
dam_7263277,Perfect Angel
dam_13173363,Malakeh
dam_14752304,Rawdaa
dam_7149744,Ivory Style
dam_5452398,Thraya Star
dam_9603475,Grace And Glory
dam_5886069,J Wonder
dam_6094599,Sharqeyih
dam_13778058,Drop Dead Gorgeous
dam_5741358,Izola
dam_5926620,Broadway Musical
dam_8549562,Voiscreville
dam_16728411,Velvet Morn
dam_21661038,My Wish
dam_13397769,Yaa Mous
dam_5472852,An Ghalanta
dam_7291396,Hargeisa
dam_13354411,Dabble
dam_6199949,Clotilde
dam_14660590,Miss Serenity
dam_23577736,Loire
dam_10939845,Princess Yaiza
dam_10747821,Harmonica
dam_37110045,Butterfly Kiss
dam_7252084,Take A Deep Breath
dam_5757437,Maxima
dam_23033430,Ukaline Du Reponet
dam_5462996,Glenwood Girl
dam_5035443,Leah Claire
dam_5472131,Louvadeus Has
dam_5714030,Youve Got A Friend
dam_4668538,Desabina
dam_6256502,Mna Na Heirean
dam_5999987,Boreale Du Berlais
dam_34373815,Bettys Delight
dam_5270342,Tara Rose
dam_21826742,Bonmahon
dam_10940167,City On Sea
dam_6025194,I'm All You Need
dam_6000071,Beni Abbes
dam_4203535,Hembra
dam_23441194,Cons Dream
dam_32233320,Blinngaroe
dam_10731469,Pretty Present
dam_5253388,Lady Knightess
dam_4777465,Exit Bob
dam_5533542,Navajo Charm
dam_6143865,Myztique
dam_6319649,Royale Video
dam_6036814,Fun Run
dam_6060215,Grangeclare Rosa
dam_6000568,Molo
dam_8435672,Yellow Queen
dam_39678772,Callie Tueuse
dam_8148959,Divine Sainte
dam_5713890,Rose De Beaufai
dam_37790438,El Eighty Twelve
dam_6152496,Pretty Puttens
dam_11448402,Ejland
dam_4162256,Cream Cracker
dam_5052369,Quinine De Mazille
dam_5185530,Nun Better
dam_5263818,Miss Platinum
dam_5099801,Banjaxed Girl
dam_24141502,Chic Milan
dam_5766103,Joanne One
dam_16478574,Mydadsabishop
dam_4577293,En La Cruz
dam_5128907,Kendoretta
dam_5267521,Curvacious
dam_13125021,Souris Blanche
dam_7087227,Hard Luck
dam_4146912,Lady Banbou
dam_6184745,Lusty Beg
dam_21512036,Sovereignoftheseas
dam_23700467,Atiana
dam_4876417,May's Magic
dam_4332657,So Long
dam_28294707,Samsha
dam_3729145,Coming Home
dam_4433457,Going For Home
dam_3084333,Valgardena
dam_3821916,Achere
dam_6862212,Reevolesa
dam_11682251,Strong Westerner
dam_5292287,Droit D'Aimer
dam_5612642,Alderimli
dam_6992839,Jelan
dam_4497689,Polysheba
dam_3928148,Royale Cazoumaille
dam_27250944,Eireann Rose
dam_5066054,Hayabusa
dam_17571162,Ballyburn Rose
dam_3356199,Carrigeen Lily
dam_5061539,Sainte Baronne
dam_5229035,Askanna
dam_5379269,Saucy Present
dam_24494848,Active Fieldgale
dam_5334525,Tercah Girl
dam_21378665,Byerley Beauty
dam_17851855,Genifique
dam_3860052,The Last Bank
dam_5997936,Didinas
dam_4736256,Mrs Percival
dam_5643316,Scarlett Du Mesnil
dam_6091253,Boscraie
dam_5624045,Une Artiste
dam_5094957,Absalom's Girl
dam_5222952,Witness Express
dam_10442719,La Turbale
dam_5843999,Broadway Theatre
dam_4791689,Solana Beach
dam_6111056,Augusta Bay
dam_4820907,Maisy Daisy
dam_4986506,Ella Watson
dam_6314392,Virgata
dam_4746511,Panzara D'Airy
dam_5032762,Medine
dam_6956523,Revoltee I
dam_3234357,Belon Breeze
dam_4682580,Southern Exit
dam_3993682,Humilis
dam_20506535,Presenting D'Azy
dam_32075393,Kadika
dam_5816643,Eaux Fortes
dam_4476906,Speciosa
dam_5404315,Mini Shan
dam_29917517,Leyhill
dam_20589905,Castlekelly Girl
dam_32882465,Midnight Crackle
dam_34962046,Mrs Mouse
dam_6791855,Minutestomidnight
dam_5714660,Linda Queen
dam_4489499,Fountain Crumble
dam_5057157,Sahabah
dam_37096066,One Cool Customer
dam_4711322,Glory Days
dam_8161090,Skarina
dam_12851349,Count On Me
dam_5400850,Molly Duffy
dam_20722107,Fliegend
dam_22975470,Prospero's Belle
dam_6184710,Nickel
dam_5267395,Sara's Smile
dam_6198801,Scorpion Princess
dam_5184767,Whoops A Daisy
dam_5842095,Une Voix Royale
dam_6101599,Astraye
dam_6092541,Mystery Code
dam_6287827,La Premiere Dame
dam_21714189,Spanish Berry
dam_5887091,This Time
dam_6339382,Dozen
dam_10256617,Gravina
dam_5870907,The Dukkerer
dam_5904626,Almada
dam_6218884,Teme Trixie
dam_29012900,Lady J D
dam_17664927,Supreme Millie
dam_4597579,Rosealainn
dam_4665808,Betwixt
dam_6073578,Cognitive
dam_27279140,Jennys Joy
dam_5288787,Nothin To Say
dam_5662559,Midalisy
dam_3671521,Hy Kate
dam_5476961,Shuil Sharp
dam_5384211,Our Grace
dam_5847009,Knappogue Honey
dam_5214923,Brookville
dam_5774433,Handmaid
dam_5206075,Sun Moon And Stars
dam_5326916,Lady Fix
dam_4973836,Persian Memories
dam_7469770,Rickrack
dam_5383882,Dancing Rain
dam_17664899,Fancytail
dam_20530405,Leading On
dam_5939192,Sonic Weld
dam_5688396,Two Days In Paris
dam_5442570,Nosey Box
dam_4662931,Karliysha
dam_5598250,Initforthecrack
dam_16144142,Sauves La Reine
dam_5106955,Evening Haze
dam_5117546,Watch Closely Now
dam_5803511,Christmas Cracker
dam_5280268,Mytara
dam_40096126,Merry Tess
dam_4683231,Be My Allstar
dam_39020975,Firth Of Malt
dam_6390076,Tudor Glyn
dam_5691882,Toye Native
dam_5900762,Heartily
dam_5839414,Gaye Lady
dam_37576868,Knocknaree Lady
dam_5086802,Blazing Tempo
dam_4225193,Renada
dam_12095657,Uriela Jin
dam_6783203,Zariyka
dam_11305903,Wishing Star
dam_6340614,Glorification
dam_6847246,Bannow Storm
dam_5291090,Sweet Lady Jane
dam_6110300,Barbalicious
dam_9721075,Present Line
dam_6093311,Pas De Chapeau
dam_4021598,Henrietta
dam_3639370,Hannigan's Lodger
dam_5686205,Reconsider Baby
dam_5701010,She's Our Banker
dam_5591733,La Rousseliere
dam_4897767,Estuary Princess
dam_18410049,Leading Article
dam_5008500,Hillflower
dam_5773712,Check The Forecast
dam_5497247,Calverleigh Court
dam_6012601,Danecole
dam_6058731,Collen Beag
dam_5039237,Present Climate
dam_9123702,Trap Queen
dam_6279070,Tara Potter
dam_5528985,Semayyel
dam_5960416,Andria
dam_9923333,Indian Athlete
dam_4699835,Elusive Swallow
dam_5293652,Bay Dove
dam_4969286,Eventide
dam_13270495,Cafe Blum
dam_6338976,Escort'woman
dam_4927643,Sea Chorus
dam_5326055,Littletown Lass
dam_4563741,Helen Wood
dam_6346662,Walkyrie
dam_5337101,Zaminast
dam_5886958,Miss Sassypants
dam_5888820,Newgate Queen
dam_51523934,Chocolate Tiffin
dam_6233738,Bahrikate
dam_5120598,Dark Quest
dam_14327446,Angel Mead
dam_5310151,Moretta Blanche
dam_6914019,So Hoity Toity
dam_15205400,Chartered
dam_19990922,Fascinating Falcon
dam_7236467,Mujadil Lachy
dam_13022478,Sea Of Reality
dam_19186972,Tower Of Pisa
dam_7102186,Limelite
dam_23567243,Posh Claret
dam_8580992,Cool Esprit
dam_5855927,Elegant Peace
dam_6232275,Marie Celeste
