damsire_id,damsire
dsi_296359,Old Vic
dsi_301889,Mansonnien
dsi_3843581,Bollin Eric
dsi_3276504,Muhtathir
dsi_3816407,Saint Des Saints
dsi_3135986,Among Men
dsi_3659551,Golan
dsi_3384073,Robin Des Pres
dsi_3852772,Black Sam Bellamy
dsi_468524,Alflora
dsi_3208429,Sagamix
dsi_3401643,Ultimately Lucky
dsi_3993948,Kapgarde
dsi_2131927,Supreme Leader
dsi_677803,Definite Article
dsi_2878428,Evasive
dsi_3602235,Mull Of Kintyre
dsi_4793005,Thewayyouare
dsi_3851113,Until Sundown
dsi_3297462,Kayf Tara
dsi_3927665,Westerner
dsi_3723636,Anzillero
dsi_4486727,Linda's Lad
dsi_4577188,Irish Wells
dsi_530859,Beneficial
dsi_699377,Heron Island
dsi_540960,Alderbrook
dsi_152544,Lord Americo
dsi_614005,Midnight Legend
dsi_676165,Presenting
dsi_366520,Turgeon
dsi_3321185,Jimble
dsi_3503136,Laveron
dsi_4009047,Gold Well
dsi_3958990,Big Bad Bob
dsi_633759,Poliglote
dsi_438830,Exit To Nowhere
dsi_676046,Flemensfirth
dsi_2133152,Acatenango
dsi_510566,Bob's Return
dsi_3271562,Dark Moondancer
dsi_3942673,Nickname
dsi_3845786,Great Pretender
dsi_350203,Karinga Bay
dsi_546966,Protektor
dsi_3254237,Saddlers' Hall
dsi_3659369,Curtain Time
dsi_4619972,Duke Of Marmalade
dsi_296611,Danehill
dsi_3822805,Captain Rio
dsi_4098703,Blackdoun
dsi_764792,Silver Patriarch
dsi_599046,Lando
dsi_3512257,Spadoun
dsi_3734157,Milan
dsi_3920336,Choisir
dsi_3527125,Dansili
dsi_3974124,Dalakhani
dsi_4870369,Mastercraftsman
dsi_4602234,Holy Roman Emperor
dsi_4532486,Champs Elysees
dsi_3501729,Kingsalsa
dsi_3562979,Roy
dsi_3591329,Giant's Causeway
dsi_3723643,Network
dsi_3722383,Galileo
dsi_672525,Anabaa
dsi_4677225,Lawman
dsi_3689966,Robin Des Champs
dsi_3368435,Golden Snake
dsi_685720,Humbel
dsi_3111234,Stepneyev
dsi_442617,Fourstars Allstar
dsi_113911,Glacial Storm
dsi_672028,Charnwood Forest
dsi_4173533,Oratorio
dsi_414470,Mujadil
dsi_4465013,Sir Percy
dsi_2127055,Cadoudal
dsi_3789198,Acclamation
dsi_3187051,Peintre Celebre
dsi_3758832,Point Given
dsi_4472293,Arcadio
dsi_3888920,Fair Mix
dsi_591024,King's Theatre
dsi_409969,Priolo
dsi_4009460,Shirocco
dsi_405517,Environment Friend
dsi_3839283,Sholokhov
dsi_3548489,Invincible Spirit
dsi_3521238,Montjeu
dsi_4248748,Turtle Bowl
dsi_4868829,Sea The Stars
dsi_2124080,Rainbow Quest
dsi_4175850,Fastnet Rock
dsi_5327504,Dream Ahead
dsi_4214315,Shamardal
dsi_753900,Pivotal
dsi_3960579,Oasis Dream
dsi_4817246,Tamayuz
dsi_4459483,Dandy Man
dsi_3496521,Namid
dsi_3133732,Compton Place
dsi_2111641,Night Shift
dsi_3970064,Avonbridge
dsi_4094377,Azamour
dsi_4127830,Dubawi
dsi_634116,Spectrum
dsi_4216086,Camacho
dsi_4080139,Kodiac
dsi_723912,Royal Applause
dsi_5292651,Zoffany
dsi_3805956,Firebreak
dsi_4181198,Cacique
dsi_4045216,Exceed And Excel
dsi_5198676,Blame
dsi_3823484,High Chaparral
dsi_4206895,Malibu Moon
dsi_2130226,Kris S
dsi_3659915,Nayef
dsi_4078998,Whipper
dsi_4701529,Dark Angel
dsi_5493852,Harbour Watch
dsi_4546038,Teofilo
dsi_660275,Desert Style
dsi_4217458,Footstepsinthesand
dsi_5440085,Sepoy
dsi_3616242,Beat Hollow
dsi_5021548,Le Havre
dsi_5648727,Epaulette
dsi_5335106,Farhh
dsi_4204263,Speightstown
dsi_6014925,Gleneagles
dsi_5322954,Casamento
dsi_3930262,Medaglia d'Oro
dsi_5178992,Bated Breath
dsi_529564,Platini
dsi_416381,Agent Bleu
dsi_3234945,Oscar
dsi_3137477,Tomba
dsi_698782,Alhaarth
dsi_154189,Big Shuffle
dsi_763784,Daylami
dsi_593768,Monsun
dsi_3261006,Croco Rouge
dsi_3548622,Millenary
dsi_3257660,Ungaro
dsi_4645585,Authorized
dsi_284298,Video Rock
dsi_3779559,Gamut
dsi_3366048,Kalanisi
dsi_3512425,Slickly
dsi_727153,Solon
dsi_4624179,Mahler
dsi_345751,Snurge
dsi_4905250,Vision D'Etat
dsi_65219,Sir Harry Lewis
dsi_3727269,Vinnie Roe
dsi_684537,Bishop Of Cashel
dsi_351715,Kendor
dsi_344120,Anshan
dsi_2139543,Useful
dsi_3700067,Samum
dsi_67970,Nomadic Way
dsi_453306,Dom Alco
dsi_2125627,Mont Basile
dsi_3137162,Revoque
dsi_3756361,Sassanian
dsi_634361,Villez
dsi_3862593,Martaline
dsi_3957289,Brian Boru
dsi_2130086,Phardante
dsi_3187065,Kaldou Star
dsi_469245,Lahib
dsi_3962595,Alberto Giacometti
dsi_397411,Witness Box
dsi_3841467,Ange Gabriel
dsi_497140,Take Risks
