owner_id,owner
own_606120,J Fyffe
own_1229492,Peter Rawcliffe
own_1103960,Stephen Sinclair Ian Duncan
own_1417392,Annett Tunstall And Graham
own_684616,Kenneth Alexander
own_122284,M Barnes
own_1289652,Colin Thomas
own_1355108,Raceline Scotland Ltd
own_83548,John P Mcmanus
own_931464,Robcour
own_64420,Cheveley Park Stud
own_1081824,Sir A Ferguson G Mason J Hales L Hales
own_1194352,Anne Marie Jamie Shepperd
own_1290404,R Kelvin Hughes Haras De Saint Voir
own_7480,P Davies
own_1127852,Tim Syder Andrew Gemmell
own_331024,Malcolm C Denmark
own_1097320,Rupert Anton
own_515232,Keep The Faith Partnership
own_946568,Rutherford Racing
own_1404548,Graeme Howard S Coltherd
own_875412,A B Hamilton
own_1186260,I I F T F
own_826208,Mrs S Russell A M Russell
own_791328,The 100 Club
own_341984,John R Adam
own_649040,Mrs Sue Murtagh
own_701292,Jolly Boys Outing
own_751292,Philip Byrne
own_1370408,Big Bang Racing
own_1406656,Have No Clue Syndicate
own_1369360,Damian Tiernan
own_1087788,Ciaran John Mooney
own_454092,Gigginstown House Stud
own_1240876,The Boltons And Atholl Duncan
own_1247672,Neil Goulden Kevin Sue Hopgood
own_1143032,Peter W Garnsworthy
own_1419808,Late Sir T Pilkington Sir R Pilkington
own_1095696,Wayne Clifford Ian Gosden
own_73936,Mrs J Donnelly
own_1238504,Martin Broughton Friends 7
own_56288,Miss Laura Morgan
own_212400,Lyreen Syndicate
own_1310684,Mrs K Browne Mrs Anne Coffey
own_1243164,J And J Mcandrew
own_1345824,Hemmings Racing
own_1135396,Grant Leon
own_1096120,James Jean Potter Ltd
own_1240368,The Unlikely Tenors
own_1309912,T I S Partnership
own_128752,Mrs S Smith
own_367388,Messrs F T Walton
own_1254296,James Proudfoot
own_160432,G T Bewley
own_601332,Bissett Racing
own_980704,Jackie Stephen Racing Club
own_1099804,D D Armstrong Ltd L Westwood
own_596080,The Surf And Turf Partnership
own_1413304,Ferguson Mason Hales Done Hogarth
own_1270000,K Haughey Kieran T Byrne
own_636264,Mrs S Ricci
own_1303400,Bronsan Racing
own_1052120,Mrs Liz Prowting
own_1204404,Bective Stud
own_1317188,Noel Fehily Racing Syndicate   Insurrect
own_1104208,Mrs Marie M Costello
own_1316048,P L Account
own_1352988,Denis A Oconnor
own_38556,David Lestrange
own_1225972,Mrs Emma Kendall
own_1024292,Oap Syndicate
own_944492,Annus Mirabilis Syndicate
own_236484,Mrs Gay Smith
own_1303668,Ian Stuart Griffiths Gary Evans
own_443752,T P Radford
own_1096964,J L And Mrs H R Gledson
own_1420188,C Ashton S Quinn
own_1415184,Robin Matthew Pearson
own_204480,Best Of The Rest Syndicate
own_1239804,Mrs L Maclennan
own_1372020,Noel Fehily Racing Syndicate   Metkayina
own_1345804,Annus Mirabilis Syndsean Odriscollmiddle Cow Umlimited
own_1358228,The Pendil Partnership
own_1400952,Andrew Strong
own_1391092,Hooves And Heels Syndicate
own_483272,Hammer Trowel Syndicate
own_1200224,Troika Racing
own_1356232,Barnane Stud Owen Heffer
own_1317664,Wayne W N Kelly
own_1398236,Off Our Marbles Syndicate
own_1309152,Dr David Carey Not The Turf Club
own_1211608,Nick Elliott Heather Shane
own_614876,Closutton Racing Club
own_1368872,J R Lavelle David Cottam
own_1412440,Mrs Jennifer Irish Kate Andrew Brooks
own_1077888,Hot To Trot Jumping
own_822928,Alan King Niall Farrell
own_1317772,Cheltenham For Breakfast
own_1331960,The Stagger Inn Duo
own_990772,Dave Skeldon Sandy Forster
own_1342872,Dere Street
own_1414680,No Gooners All About The Lady
own_1141884,K Jardine R Griffiths
own_1410092,S A Hollings Racing
own_486784,J P G Hamilton
own_1318552,Friends From The North
own_1420388,J Batty R Chapman R Parks R Wardlaw
own_1356436,S Quinn
own_1405268,Rebecca Dennis And Wilma Duffus
own_1337240,Tony Culhane Racing The Good Racing Co
own_1178436,J E Parr
own_801160,Bill Hawkins
own_84308,Ian Williams
own_1271140,Lets Be Lucky Racing 33
own_1391860,Barry Rogan Partner
own_1087568,Gwyn Evans
own_1420156,Harry Crothers Partners
own_782608,Mike Harris Racing Club
own_1016076,Trevor Johnson
own_1267104,The Horse Watchers 7
own_1364012,Pat Morris And Clear Cut Racing
own_152920,Miss L A Perratt
own_1025036,Tor Side Racing
own_132756,Blue And Gold Syndicate
own_1169496,P Boyle
own_1066476,G P S Heart Of Racing Bloodstock Ltd
own_161696,Mrs J Evans
own_1413832,Mrs S M Maine Roger Gould
own_1331852,Homecroft Wealth Paul J Dixon Partners
own_225736,A W Carroll
own_1265268,Lester Patrick Keane
own_1007828,Curzon House Partnership
own_379872,Southwell Racing Club
own_1012164,A Bell P T Midgley
own_1175052,Miss Jacintha Hynes
own_1267916,The Mick David Easterby Racing Group
own_1362280,William Burns Miss L A Perratt
own_1279760,The Wheel Of Fortune Partnership
own_1257228,New Vision Bloodstock And Miss J R Macey
own_1322952,Sandfield Ged Shields
own_4716,Gareth Cheshire
own_478708,B R Johnson
own_142808,K Nicholls
own_1282512,Paul J Dixon J Wylam Mrs C J Wylam
own_391524,J A Osborne
own_1328048,David Fowler
own_138568,Sue Howell
own_1322632,G Lavery
own_1192928,Michelle Hancox
own_1314916,P Bradley
own_1324484,Nantwich Entrepreneurs
own_1192012,Scott Dixon Racing Partnership
own_695088,Tony Coyle
own_144788,D W Whillans
own_665232,Derbyshire Racing Iii
own_959148,Grant Tuer
own_523560,James Binks
own_1273576,Faulkner Jenkins
own_1318676,Patrick Morris
own_1389876,Jbs Farming
own_1411840,Gigabit Sales Rental Ltd
own_1375456,Dallas Racing And Associate
own_624268,Wetumpka Racing
own_1138220,Peter Clarke Racing Partners
own_330068,G White
own_1326552,Mid Atlantic Racing
own_1085572,B Dowling R Stevens
own_1376808,Amy Olivia Marnane
own_1008936,Amo Racing Limited
own_39584,D J Deer
own_955224,The Dapper Partnership
