sire_id,sire
sir_5917226,Kingston Hill
sir_3932551,Khalkevi
sir_3297462,Kayf Tara
sir_6307308,Chanducoq
sir_4944793,Kamsin
sir_7340921,Wings Of Eagles
sir_4532486,Champs Elysees
sir_676046,Flemensfirth
sir_4128446,Notnowcato
sir_5958330,Jack Hobbs
sir_5839988,Cokoriko
sir_4223408,Doctor Dino
sir_5728562,Telescope
sir_3734157,Milan
sir_7784448,National Defense
sir_3700067,Samum
sir_3983700,Doyen
sir_4804191,Falco
sir_5603829,Ocovango
sir_4009460,Shirocco
sir_4905173,Montmartre
sir_4086887,Yeats
sir_5147233,Zanzibari
sir_3885084,Secret Singer
sir_5237701,Nathaniel
sir_3892441,Sulamani
sir_4624284,Soldier Of Fortune
sir_4989285,Sans Frontieres
sir_4645585,Authorized
sir_5498255,Universal
sir_6096356,Walzertakt
sir_5333650,Jet Away
sir_7976311,Pillar Coral
sir_3816407,Saint Des Saints
sir_4123686,Court Cave
sir_3927665,Westerner
sir_6179754,Choeur Du Nord
sir_4602430,Getaway
sir_5551420,Masterstroke
sir_13423760,Beaumec De Houelle
sir_3993948,Kapgarde
sir_4218179,Walk In The Park
sir_4494917,Papal Bull
sir_5783750,Free Eagle
sir_4224962,Scorpion
sir_6126435,Proconsul
sir_6838293,Castle Du Berlais
sir_4485502,Youmzain
sir_5957371,Dartmouth
sir_5928272,Fascinating Rock
sir_3769220,Califet
sir_3722383,Galileo
sir_5988269,Muhaarar
sir_5152770,Showcasing
sir_14902776,Magna Grecia
sir_6312670,Almanzor
sir_3845786,Great Pretender
sir_6014925,Gleneagles
sir_4178412,Lord Du Sud
sir_676165,Presenting
sir_5063387,Air Chief Marshal
sir_3207309,Craigsteel
sir_5835837,Libertarian
sir_4486727,Linda's Lad
sir_4624228,Mount Nelson
sir_4494735,Sixties Icon
sir_5221342,No Risk At All
sir_5164208,Poet's Voice
sir_3814832,Rock Of Gibraltar
sir_4217458,Footstepsinthesand
sir_6281926,Harzand
sir_4209772,Malinas
sir_6126946,Frontiersman
sir_4127830,Dubawi
sir_4868829,Sea The Stars
sir_10465427,Ghaiyyath
sir_5493992,Camelot
sir_4080139,Kodiac
sir_9923655,Sioux Nation
sir_5566554,Pearl Secret
sir_9602586,Havana Grey
sir_10246215,Invincible Army
sir_4677225,Lawman
sir_5927481,Sea The Moon
sir_5638892,Bungle Inthejungle
sir_7032655,Mehmas
sir_5327504,Dream Ahead
sir_5925710,Due Diligence
sir_6338269,Aclaim
sir_3548489,Invincible Spirit
sir_4459483,Dandy Man
sir_4701529,Dark Angel
sir_7157318,Ardad
sir_4216086,Camacho
sir_14220731,Calyx
sir_5084065,Starspangledbanner
sir_5298622,Mayson
sir_7175189,Blue Point
sir_6308554,Gun Runner
sir_8866032,Masar
sir_8174257,Cracksman
sir_13368124,Land Force
sir_13695164,Hello Youmzain
sir_5133128,Siyouni
sir_4091143,Iffraaj
sir_5865139,Zoustar
sir_5246346,Wootton Bassett
sir_5494055,Gregorian
sir_5292651,Zoffany
sir_5800130,Lightning Spear
sir_6124769,Awtaad
sir_10504137,Expert Eye
sir_19359298,Kameko
sir_18619580,Pinatubo
sir_15030547,Persian King
sir_5876514,Night Of Thunder
sir_5178992,Bated Breath
sir_19035702,Earthlight
sir_4761330,Adlerflug
sir_5601386,Battle Of Marengo
sir_5237785,Reliable Man
sir_5412708,Imperial Monarch
sir_6319173,Zarak
sir_4624179,Mahler
sir_4690833,New Approach
sir_4168122,Balko
sir_6091939,Storm The Stars
sir_4966836,Jukebox Jury
sir_5344241,Masked Marvel
sir_5720169,Leading Light
sir_5957350,Ol' Man River
sir_18001074,Nirvana Du Berlais
sir_3852772,Black Sam Bellamy
sir_4482254,Dylan Thomas
sir_4495463,Jeremy
sir_4097646,Apsis
sir_4087860,Geordieland
sir_5369000,Maxios
sir_2998898,Passing Glance
sir_3839283,Sholokhov
sir_4871055,Fame And Glory
sir_4538492,Ask
sir_4924724,Blue Bresil
sir_4820571,Virtual
sir_3616242,Beat Hollow
sir_4237240,Laverock
sir_4724783,Brave Mansonnien
sir_740670,Shantou
sir_3842790,Ballingarry
sir_3862593,Martaline
sir_4572834,Gentlewave
sir_3782352,Dubai Destination
sir_4872385,Legolas
sir_366520,Turgeon
sir_3723643,Network
sir_5636862,Alhebayeb
sir_3897341,Policy Maker
sir_5784198,Affinisea
sir_5181561,Diamond Boy
sir_3548951,Sandmason
sir_5991769,Kool Kompany
sir_6059046,Order Of St George
sir_6006707,Jeu St Eloi
sir_5857859,Postponed
sir_4602234,Holy Roman Emperor
sir_5884984,The Grey Gatsby
sir_6028491,Vadamos
sir_6051941,Territories
sir_4971393,Yorgunnabelucky
sir_4782463,Sageburg
sir_4839422,Kap Rock
sir_5379878,Sea Moon
sir_3502310,Enrique
sir_5239360,Quest For Peace
sir_5164180,Elusive Pimpernel
sir_5735996,Pether's Moon
sir_4741954,Zambezi Sun
sir_4628113,Schiaparelli
sir_3807587,Arvico
sir_3922548,Morozov
sir_4784598,Famous Name
sir_4546038,Teofilo
sir_11118415,Saxon Warrior
sir_6106975,New Bay
sir_3660062,Saddler Maker
sir_5740378,Valirann
sir_3957289,Brian Boru
sir_5617752,Havana Gold
sir_5866273,Night Wish
sir_3234854,Cloudings
sir_4639740,Lucarno
sir_12355945,Frammassone
sir_4703412,Myboycharlie
sir_11016229,Roaring Lion
sir_5322954,Casamento
sir_21010010,Sogann
sir_6066578,Twilight Son
sir_13368145,Sergei Prokofiev
sir_5957938,Time Test
sir_19600987,Wooded
sir_6104063,Make Believe
sir_5874547,No Nay Never
sir_6125343,Ulysses
sir_11448332,Study Of Man
sir_4779124,Raven's Pass
sir_6028834,Cotai Glory
sir_5988948,Kodi Bear
sir_13695283,Ten Sovereigns
sir_14691040,Shaman
sir_5377211,Al Kazeem
sir_5186867,Lope De Vega
sir_8501080,Inns Of Court
sir_10782604,Sands Of Mali
sir_6035519,Profitable
sir_5601162,Sir Prancealot
sir_4760049,Stimulation
sir_4996964,Cityscape
sir_4045216,Exceed And Excel
sir_6257503,Ribchester
sir_13788572,Advertise
sir_4784353,Tale Of Two Cities
sir_5413016,Mukhadram
sir_3789198,Acclamation
sir_7013188,Harry Angel
sir_13020504,Soldier's Call
sir_6345339,Churchill
sir_5877137,Outstrip
sir_6026251,Brazen Beau
sir_5711006,Garswood
sir_15566474,Mohaather
sir_6068706,Frosted
sir_6028827,Adaay
sir_5602422,Feel Like Dancing
sir_4688159,Coastal Path
sir_5771157,Ivanhowe
sir_4848690,It's Gino
sir_6290277,The Gurkha
sir_4548635,Spanish Moon
sir_5312636,Tin Horse
sir_4200735,Bonbon Rose
sir_3622080,Sinndar
sir_3276504,Muhtathir
sir_4497822,Kentucky Dynamite
sir_3090514,Well Chosen
sir_3647567,Al Namix
sir_5730277,Morandi
sir_3795330,Desir D'Un Soir
sir_4749731,Dansant
sir_3543505,Maresca Sorrento
sir_6245778,Nutan
sir_5411385,Born To Sea
sir_5785444,Australia
sir_6057142,Golden Horn
sir_5827822,Coach House
